-----
{
 "description": "This data provides district-wise allocation, release and expenditure of National Rural Drinking Water Programme (NRDWP) fund all over India for 2011-12.", 
 "file_name": "DISTRICT_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_11-12.xls", 
 "title": "District-Wise Allocation / Release And Expenditure of NRDWP Fund For 2011-2012 ", 
 "url": "http://data.gov.in/sites/default/files/DISTRICT_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_11-12.xls"
}
-----
"State Name","District Name","Opening Balance (Rs. in Crores)","Allocation Total (Rs. in Crores)","Allocation Central (Rs. in Crores)","Allocation State (Rs. in Crores)","Release Total (Rs. in Crores)","Release Central (Rs. in Crores)","Release State (Rs. in Crores)","Expenditure Total (Rs. in Crores)","Expenditure Central (Rs. in Crores)","Expenditure State (Rs. in Crores)"
"JAMMU AND KASHMIR","DODA",0.0,30.28,30.14,0.14,32.35,27.85,4.49,30.19,25.7,4.49
"JAMMU AND KASHMIR","GANDERBAL",0.0,0.0,0.0,0.0,20.07,18.79,1.28,19.31,18.41,0.9
"JAMMU AND KASHMIR","JAMMU",0.0,77.59,74.98,2.61,80.04,68.82,11.22,72.84,62.8,10.04
"JAMMU AND KASHMIR","KARGIL",0.0,1.63,1.63,0.0,15.72,15.72,0.0,14.67,14.67,0.0
"JAMMU AND KASHMIR","KATHUA",0.0,34.97,34.15,0.82,28.25,23.69,4.56,25.84,21.38,4.46
"JAMMU AND KASHMIR","KISHTWAR",0.0,24.71,24.5,0.21,20.02,18.86,1.16,19.6,18.45,1.15
"JAMMU AND KASHMIR","KULGAM",0.0,0.0,0.0,0.0,27.26,17.08,10.18,26.98,17.04,9.93
"JAMMU AND KASHMIR","KUPWARA",0.0,0.0,0.0,0.0,36.84,28.99,7.85,33.78,27.67,6.11
"JAMMU AND KASHMIR","LEH (LADAKH)",0.0,0.0,0.0,0.0,15.47,15.47,0.0,15.47,15.47,0.0
"JAMMU AND KASHMIR","POONCH",0.0,17.08,16.9,0.18,20.92,14.82,6.1,20.89,14.79,6.1
"JAMMU AND KASHMIR","PULWAMA",0.0,0.0,0.0,0.0,39.6,38.1,1.5,38.18,37.13,1.06
"JAMMU AND KASHMIR","RAJAURI",0.0,31.3,30.69,0.61,28.65,25.59,3.06,28.51,25.53,2.98
"JAMMU AND KASHMIR","RAMBAN",0.0,21.51,21.49,0.02,11.22,10.36,0.86,10.19,9.33,0.86
"JAMMU AND KASHMIR","REASI",0.0,27.2,27.11,0.09,26.98,19.36,7.62,17.56,16.16,1.4
"JAMMU AND KASHMIR","SAMBA",0.0,25.25,24.9,0.35,19.11,16.65,2.47,18.83,16.37,2.47
"JAMMU AND KASHMIR","SHOPIAN",0.0,0.0,0.0,0.0,28.07,23.12,4.94,25.52,20.57,4.94
"JAMMU AND KASHMIR","SRINAGAR",0.0,0.0,0.0,0.0,13.3,9.57,3.72,12.05,9.13,2.92
"JAMMU AND KASHMIR","UDHAMPUR",0.0,34.16,33.41,0.75,19.75,18.2,1.55,19.41,17.98,1.43
"JHARKHAND","StateHQ(JHARKHAND)",0.0,0.0,0.0,0.0,3.6,3.6,0.0,0.67,0.67,0.0
"JHARKHAND","BOKARO",1.42,10.39,5.39,5.0,18.21,9.56,8.65,14.68,9.11,5.57
"JHARKHAND","CHATRA",1.66,7.93,3.4,4.52,11.42,5.49,5.93,9.36,6.59,2.77
"JHARKHAND","DEOGHAR",1.16,8.08,3.34,4.74,15.09,7.52,7.57,11.54,7.89,3.65
"JHARKHAND","DHANBAD",2.05,16.1,6.21,9.89,29.25,14.77,14.48,24.54,13.08,11.46
"JHARKHAND","DUMKA",0.76,7.42,2.13,5.29,16.03,7.55,8.48,12.39,4.78,7.61
"JHARKHAND","GARHWA",3.06,10.34,3.72,6.62,14.33,6.24,8.1,11.87,6.59,5.29
"JHARKHAND","GIRIDIH",2.3,17.03,6.36,10.67,27.35,13.22,14.13,20.16,10.95,9.2
"JHARKHAND","GODDA",2.07,10.87,3.78,7.09,15.57,6.67,8.9,12.55,5.01,7.54
"JHARKHAND","GUMLA",2.04,12.0,2.58,9.42,17.24,8.02,9.22,16.19,7.25,8.94
"JHARKHAND","HAZARIBAG",1.79,10.42,5.48,4.94,16.99,8.1,8.88,14.32,7.54,6.78
"JHARKHAND","JAMTARA",1.73,6.71,1.59,5.13,10.59,4.28,6.31,9.73,5.09,4.64
"JHARKHAND","KHUTI",1.25,6.23,1.43,4.79,8.5,3.56,4.93,7.48,3.53,3.95
"JHARKHAND","KODERMA",0.52,6.23,2.42,3.81,7.86,3.8,4.05,5.97,3.94,2.03
"JHARKHAND","LATEHAR",1.94,6.05,1.23,4.82,9.7,3.59,6.12,9.26,4.79,4.47
"JHARKHAND","LOHARDAGA",0.79,5.11,1.46,3.65,7.02,3.66,3.36,6.08,3.94,2.14
"JHARKHAND","PAKUR",1.14,5.27,1.49,3.78,9.21,4.03,5.18,8.18,4.28,3.9
"JHARKHAND","PALAMU",6.4,38.48,11.23,27.25,31.68,11.27,20.41,22.83,12.83,10.0
"JHARKHAND","PASCHIM SINGHBHUM",2.0,11.78,2.95,8.83,18.12,9.14,8.98,16.32,8.19,8.13
"JHARKHAND","PURBI SINGHBHUM",0.53,12.65,3.1,9.55,17.44,7.7,9.73,14.45,7.1,7.35
"JHARKHAND","RAMGARH",1.27,6.33,2.62,3.71,9.79,4.59,5.2,6.91,5.01,1.9
"JHARKHAND","RANCHI",3.8,26.29,8.05,18.24,37.48,17.52,19.95,33.89,16.53,17.36
"JHARKHAND","SAHIBGANJ",1.56,6.8,1.95,4.85,12.9,5.3,7.6,12.23,6.1,6.13
"JHARKHAND","SAREIKELA AND KHARSAWAN",1.09,6.6,2.15,4.45,10.31,5.39,4.92,9.15,4.77,4.37
"JHARKHAND","SIMDEGA",1.16,3.78,0.63,3.15,8.15,3.54,4.61,8.5,4.3,4.21
"KARNATAKA","StateHQ(KARNATAKA)",2.1,14.02,14.02,0.0,6.0,6.0,0.0,2.61,2.61,0.0
"KARNATAKA","BAGALKOT",36.4,67.99,48.96,19.04,60.88,48.08,12.79,42.67,39.24,3.43
"KARNATAKA","BANGALORE RURAL",4.71,20.02,9.59,10.43,20.93,13.95,6.99,27.54,17.57,9.97
"KARNATAKA","BANGLORE URBAN",6.5,20.23,9.69,10.55,23.59,13.52,10.07,31.83,18.71,13.12
"KARNATAKA","BELGAUM",10.91,46.12,21.98,24.13,54.48,26.03,28.45,61.0,30.37,30.63
"KARNATAKA","BELLARY",29.03,68.03,43.36,24.68,81.44,47.03,34.4,68.71,50.68,18.03
"KARNATAKA","BIDAR",5.57,23.67,11.35,12.32,34.11,19.35,14.76,28.01,19.92,8.1
"KARNATAKA","BIJAPUR",32.68,68.29,46.3,21.99,77.98,50.08,27.9,66.74,56.99,9.75
"KARNATAKA","CHAMARAJANAGAR",5.92,20.12,9.68,10.44,23.6,13.14,10.47,30.23,16.54,13.69
"KARNATAKA","CHIK BALLAPUR",7.05,29.75,14.17,15.59,32.79,16.3,16.49,31.4,19.79,11.61
"KARNATAKA","CHIKMAGALUR",6.55,27.95,13.45,14.49,24.83,19.85,4.98,34.09,25.26,8.83
"KARNATAKA","CHITRADURGA",9.67,41.57,19.73,21.84,54.34,22.45,31.88,47.16,27.5,19.67
"KARNATAKA","DAKSHIN KANNAD",8.25,34.79,16.53,18.25,26.91,19.86,7.04,39.59,27.11,12.48
"KARNATAKA","DAVANGERE",12.53,38.23,21.01,17.21,44.54,22.88,21.66,42.26,25.21,17.05
"KARNATAKA","DHARWAD",6.87,17.74,8.55,9.19,22.19,14.33,7.86,30.26,20.56,9.7
"KARNATAKA","GADAG ",5.1,21.97,10.68,11.29,25.61,15.63,9.99,32.15,20.04,12.11
"KARNATAKA","GULBARGA",6.49,27.6,13.25,14.35,48.39,16.67,31.72,48.37,22.55,25.83
"KARNATAKA","HASSAN",4.83,20.91,10.22,10.69,27.58,13.03,14.55,21.99,17.03,4.95
"KARNATAKA","HAVERI ",7.32,31.78,15.14,16.63,26.91,16.76,10.15,36.54,23.5,13.04
"KARNATAKA","KODAGU",2.26,9.91,4.9,5.01,10.2,8.04,2.16,11.85,8.59,3.27
"KARNATAKA","KOLAR",6.71,28.34,13.49,14.85,39.27,19.36,19.9,47.14,24.22,22.91
"KARNATAKA","KOPPAL ",26.08,84.6,48.4,36.2,78.84,45.61,33.24,43.9,35.6,8.3
"KARNATAKA","MANDYA",8.15,34.67,16.63,18.04,36.73,18.98,17.75,39.65,21.26,18.38
"KARNATAKA","MYSORE",8.35,36.05,17.57,18.48,45.71,19.32,26.39,48.71,26.33,22.38
"KARNATAKA","RAICHUR",24.39,59.86,36.69,23.17,70.13,37.03,33.1,83.17,58.55,24.62
"KARNATAKA","RAMANAGARAM",5.82,27.38,13.31,14.07,25.7,16.39,9.31,29.47,20.45,9.02
"KARNATAKA","SHIMOGA",6.18,26.46,12.78,13.68,27.85,20.93,6.92,36.57,25.42,11.15
"KARNATAKA","TUMKUR",9.21,39.93,19.11,20.83,66.65,24.78,41.88,60.01,33.49,26.51
"KARNATAKA","UDUPI ",5.32,22.56,10.8,11.76,14.94,12.6,2.35,16.24,12.87,3.37
"KARNATAKA","UTTAR KANNADA",6.0,25.16,12.01,13.15,26.6,17.56,9.05,22.85,20.29,2.55
"KARNATAKA","YADGIR",5.02,17.17,8.27,8.9,26.47,12.25,14.22,18.83,14.6,4.23
"KERALA","StateHQ(KERALA)",0.0,0.12,0.12,0.0,0.87,0.13,0.74,0.87,0.13,0.74
"KERALA","ALAPPUZHA",0.16,77.13,10.39,66.74,47.47,11.31,36.16,48.73,11.47,37.26
"KERALA","ERNAKULAM",0.06,31.57,10.88,20.69,32.7,8.44,24.26,32.65,8.33,24.32
"KERALA","IDUKKI",0.2,27.23,9.87,17.36,14.97,6.29,8.68,15.11,6.44,8.68
"KERALA","KANNUR",0.0,85.12,9.57,75.55,47.88,4.93,42.95,47.99,4.91,43.08
"KERALA","KASARAGOD",0.0,24.0,7.95,16.05,2.48,0.93,1.54,2.52,0.87,1.65
"KERALA","KOLLAM",0.1,80.14,10.66,69.48,31.76,11.63,20.13,31.68,11.7,19.99
"KERALA","KOTTAYAM",0.09,27.51,10.12,17.39,42.97,23.93,19.03,43.28,24.01,19.27
"KERALA","KOZHIKODE",0.0,83.85,10.41,73.44,38.5,4.16,34.33,38.88,4.16,34.72
"KERALA","MALAPPURAM",0.0,25.52,9.87,15.65,21.47,12.56,8.91,21.47,12.54,8.93
"KERALA","PALAKKAD",0.25,27.2,9.61,17.59,23.29,6.3,16.99,23.53,6.54,16.99
"KERALA","PATHANAMTHITTA",2.9,25.36,9.68,15.69,13.45,6.06,7.39,16.16,8.56,7.6
"KERALA","THIRUVANANTHAPURAM",2.15,84.23,14.52,69.71,54.35,14.04,40.32,56.49,16.14,40.35
"KERALA","THRISSUR",0.04,26.74,9.36,17.39,18.07,4.31,13.76,18.09,4.33,13.76
"KERALA","WAYANAD",0.0,24.36,9.68,14.68,8.12,6.86,1.27,8.17,6.84,1.32
"LAKSHADWEEP","StateHQ(LAKSHADWEEP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LAKSHADWEEP","LAKSHADWEEP DISTRICT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MADHYA PRADESH","StateHQ(MADHYA PRADESH)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MADHYA PRADESH","ALIRAJPUR",0.18,15.06,7.53,7.53,10.73,5.51,5.21,9.88,5.47,4.4
"MADHYA PRADESH","ANUPPUR",0.0,9.45,0.0,9.45,15.97,7.8,8.17,15.7,7.53,8.17
"MADHYA PRADESH","ASHOKNAGAR",0.18,6.1,3.05,3.05,9.46,4.76,4.7,9.03,4.49,4.54
"MADHYA PRADESH","BALAGHAT",0.16,17.44,8.72,8.72,51.22,26.04,25.18,49.32,24.6,24.72
"MADHYA PRADESH","BARWANI",0.86,11.88,5.94,5.94,15.71,8.49,7.22,16.05,9.14,6.91
"MADHYA PRADESH","BETUL",0.0,11.9,5.95,5.95,12.72,6.59,6.13,12.47,6.35,6.12
"MADHYA PRADESH","BHIND",0.15,12.38,6.19,6.19,9.12,4.65,4.47,5.8,3.25,2.55
"MADHYA PRADESH","BHOPAL",0.2,7.17,3.58,3.58,33.38,25.51,7.88,25.31,17.88,7.43
"MADHYA PRADESH","BURHANPUR",0.38,5.62,2.81,2.81,6.27,3.73,2.53,5.63,3.32,2.31
"MADHYA PRADESH","CHHATARPUR",0.5,8.82,4.41,4.41,8.05,3.88,4.17,7.92,3.78,4.14
"MADHYA PRADESH","CHHINDWARA",0.52,17.34,7.83,9.5,22.73,11.42,11.32,21.65,10.99,10.67
"MADHYA PRADESH","DAMOH",0.25,10.74,5.37,5.37,10.68,5.5,5.18,9.32,4.49,4.83
"MADHYA PRADESH","DATIA",0.1,6.9,3.45,3.45,4.98,2.3,2.68,3.77,1.9,1.87
"MADHYA PRADESH","DEWAS",0.0,15.06,7.53,7.53,15.78,8.06,7.72,15.42,7.86,7.57
"MADHYA PRADESH","DHAR",0.22,56.56,28.28,28.28,39.89,19.12,20.77,38.96,18.22,20.74
"MADHYA PRADESH","DINDORI",0.9,16.55,7.93,8.62,25.07,12.91,12.16,24.05,12.27,11.78
"MADHYA PRADESH","GUNA",0.21,6.88,3.44,3.44,9.97,5.58,4.38,9.72,5.53,4.2
"MADHYA PRADESH","GWALIOR",0.12,9.66,4.83,4.83,12.03,6.45,5.57,11.35,5.8,5.56
"MADHYA PRADESH","HARDA",0.2,5.72,2.86,2.86,4.25,1.94,2.31,3.75,1.75,2.0
"MADHYA PRADESH","HOSHANGABAD",0.15,9.48,4.74,4.74,7.84,4.25,3.59,7.49,4.0,3.49
"MADHYA PRADESH","INDORE",0.16,9.96,4.98,4.98,30.66,15.92,14.74,29.75,15.04,14.71
"MADHYA PRADESH","JABALPUR",0.15,11.42,5.71,5.71,18.11,8.96,9.15,17.48,8.45,9.04
"MADHYA PRADESH","JHABUA",0.2,19.82,9.91,9.91,30.0,14.05,15.95,29.36,13.82,15.53
"MADHYA PRADESH","KATNI",0.26,12.0,6.0,6.0,13.83,7.64,6.19,12.63,6.77,5.86
"MADHYA PRADESH","KHANDWA",0.0,9.16,4.58,4.58,10.93,6.05,4.89,10.65,5.8,4.86
"MADHYA PRADESH","KHARGONE",0.22,18.64,9.32,9.32,12.9,6.67,6.23,12.53,6.44,6.1
"MADHYA PRADESH","MANDLA",0.15,14.31,6.69,7.62,19.75,10.29,9.46,17.73,9.36,8.36
"MADHYA PRADESH","MANDSAUR",0.18,14.48,7.24,7.24,16.91,10.38,6.53,16.84,10.31,6.53
"MADHYA PRADESH","MORENA",0.6,9.36,4.68,4.68,8.82,4.47,4.35,8.07,3.78,4.29
"MADHYA PRADESH","NARSINGHPUR",0.14,11.0,5.5,5.5,11.94,6.2,5.74,11.76,6.02,5.74
"MADHYA PRADESH","NEEMUCH",0.13,11.06,5.53,5.53,12.74,7.06,5.68,12.61,6.93,5.68
"MADHYA PRADESH","PANNA",0.2,8.76,4.38,4.38,8.57,4.61,3.96,8.38,4.51,3.87
"MADHYA PRADESH","RAISEN",0.24,16.46,8.23,8.23,14.56,8.15,6.41,14.37,8.04,6.33
"MADHYA PRADESH","RAJGARH",0.06,18.08,9.04,9.04,14.35,7.25,7.1,13.58,7.19,6.39
"MADHYA PRADESH","RATLAM",0.21,22.22,11.11,11.11,15.38,8.08,7.3,14.85,8.01,6.85
"MADHYA PRADESH","REWA",0.24,7.65,1.51,6.14,18.33,9.58,8.75,18.12,9.29,8.84
"MADHYA PRADESH","SAGAR",0.11,15.66,7.83,7.83,17.98,9.78,8.2,17.9,9.75,8.15
"MADHYA PRADESH","SATNA",0.13,5.97,0.0,5.97,13.6,7.33,6.27,12.57,6.54,6.03
"MADHYA PRADESH","SEHORE",0.18,16.12,8.06,8.06,20.0,10.93,9.07,18.95,9.88,9.07
"MADHYA PRADESH","SEONI",0.05,15.31,7.03,8.28,13.53,7.04,6.49,12.83,6.43,6.4
"MADHYA PRADESH","SHAHDOL",0.0,7.23,0.0,7.23,12.48,6.26,6.21,12.14,6.12,6.03
"MADHYA PRADESH","SHAJAPUR",0.0,15.47,7.74,7.73,12.52,6.85,5.67,12.32,6.71,5.6
"MADHYA PRADESH","SHEOPUR",0.03,12.6,6.3,6.3,10.05,5.3,4.75,9.17,4.56,4.61
"MADHYA PRADESH","SHIVPURI",0.12,8.42,4.21,4.21,9.57,5.13,4.44,8.9,4.56,4.33
"MADHYA PRADESH","SIDHI",0.15,7.04,0.0,7.04,13.68,7.15,6.53,11.28,5.41,5.87
"MADHYA PRADESH","SINGROULI",0.21,4.5,0.0,4.5,11.88,5.96,5.92,9.93,4.89,5.04
"MADHYA PRADESH","TIKAMGARH",0.39,10.3,5.15,5.15,11.6,6.45,5.15,9.79,4.92,4.87
"MADHYA PRADESH","UJJAIN",0.15,19.4,9.7,9.7,16.48,8.86,7.62,15.44,8.01,7.43
"MADHYA PRADESH","UMARIA",0.0,5.18,0.0,5.18,13.68,7.13,6.55,13.13,6.63,6.5
"MADHYA PRADESH","VIDISHA",0.12,11.86,5.93,5.93,12.32,6.61,5.7,12.21,6.52,5.69
"MAHARASHTRA","StateHQ(MAHARASHTRA)",24.02,40.34,34.34,6.0,29.22,29.22,0.0,35.03,35.03,0.0
"MAHARASHTRA","AHMEDNAGAR",3.53,55.96,28.77,27.2,65.77,21.28,44.48,71.78,24.71,47.07
"MAHARASHTRA","AKOLA",1.96,12.55,6.87,5.67,23.09,9.46,13.62,26.43,10.65,15.78
"MAHARASHTRA","AMRAVATI",2.31,96.14,49.04,47.1,63.84,26.63,37.21,69.9,28.31,41.59
"MAHARASHTRA","AURANGABAD",7.3,30.76,21.12,9.64,32.0,14.22,17.78,35.43,21.03,14.39
"MAHARASHTRA","BEED",5.49,47.76,27.23,20.53,50.49,19.5,30.99,53.29,24.15,29.15
"MAHARASHTRA","BHANDARA",1.01,21.12,13.73,7.4,22.83,14.6,8.23,20.97,15.53,5.44
"MAHARASHTRA","BULDANA",1.5,85.57,43.93,41.64,71.65,44.48,27.17,69.76,44.64,25.12
"MAHARASHTRA","CHANDRAPUR",0.0,46.1,25.91,20.19,53.85,27.18,26.67,39.84,25.33,14.51
"MAHARASHTRA","DHULE",1.89,22.5,12.45,10.05,14.01,6.87,7.13,13.75,8.19,5.57
"MAHARASHTRA","GADCHIROLI",2.52,29.62,17.9,11.72,31.36,14.82,16.54,20.1,16.39,3.71
"MAHARASHTRA","GONDIA",0.0,25.8,16.46,9.34,35.54,21.7,13.84,30.95,19.16,11.79
"MAHARASHTRA","HINGOLI",2.29,11.65,8.39,3.26,12.69,5.88,6.81,15.19,8.15,7.04
"MAHARASHTRA","JALGAON",1.26,34.64,18.42,16.21,54.28,32.64,21.64,50.95,33.59,17.36
"MAHARASHTRA","JALNA",0.85,19.22,11.73,7.5,24.18,10.14,14.04,23.39,10.06,13.33
"MAHARASHTRA","KOLHAPUR",0.3,68.81,36.35,32.46,74.23,34.65,39.57,75.04,34.48,40.57
"MAHARASHTRA","LATUR",2.04,27.23,16.37,10.86,23.68,10.49,13.19,25.5,12.51,12.99
"MAHARASHTRA","NAGPUR",0.73,23.51,11.94,11.58,30.97,11.51,19.46,24.88,11.21,13.67
"MAHARASHTRA","NANDED",1.99,30.84,17.39,13.46,32.9,8.56,24.34,26.74,7.8,18.94
"MAHARASHTRA","NANDURBAR",1.93,16.02,12.03,3.99,23.11,16.38,6.73,22.1,17.06,5.03
"MAHARASHTRA","NASHIK",4.25,53.22,28.04,25.18,43.45,19.56,23.89,43.04,21.98,21.06
"MAHARASHTRA","OSMANABAD",1.62,17.34,11.06,6.28,13.04,6.57,6.47,8.15,6.02,2.13
"MAHARASHTRA","PARBHANI",1.12,18.12,12.05,6.08,19.28,12.53,6.75,14.86,10.71,4.15
"MAHARASHTRA","PUNE",0.95,57.47,31.11,26.37,91.64,28.2,63.44,89.67,28.54,61.13
"MAHARASHTRA","RAIGAD",2.34,44.04,23.48,20.56,35.94,21.31,14.63,42.46,22.39,20.07
"MAHARASHTRA","RATNAGIRI",2.27,18.77,11.33,7.44,30.68,13.33,17.36,29.38,13.45,15.93
"MAHARASHTRA","SANGLI",1.23,41.85,21.66,20.2,47.39,23.11,24.28,48.22,24.15,24.07
"MAHARASHTRA","SATARA",0.39,49.19,26.01,23.19,56.59,29.8,26.78,56.93,30.11,26.82
"MAHARASHTRA","SINDHUDURG",2.05,26.27,16.49,9.79,27.23,14.03,13.2,21.0,13.16,7.84
"MAHARASHTRA","SOLAPUR",2.59,25.51,14.24,11.26,19.88,12.84,7.04,27.54,14.35,13.19
"MAHARASHTRA","THANE",4.01,51.81,26.59,25.22,56.93,17.59,39.34,61.32,21.5,39.82
"MAHARASHTRA","WARDHA",0.06,13.38,6.94,6.43,18.89,9.21,9.68,18.64,9.18,9.46
"MAHARASHTRA","WASHIM",1.77,9.93,5.74,4.19,8.07,4.93,3.15,9.87,6.26,3.61
"MAHARASHTRA","YAVATMAL",0.24,41.8,21.75,20.04,28.31,13.06,15.25,30.84,12.43,18.41
"MANIPUR","StateHQ(MANIPUR)",1.3,5.95,3.18,2.77,5.49,4.46,1.03,4.29,4.18,0.1
"MANIPUR","BISHNUPUR",0.0,8.87,4.87,4.0,6.94,4.28,2.66,4.42,4.28,0.14
"MANIPUR","CHANDEL",0.0,8.06,4.39,3.67,3.93,2.43,1.5,2.67,2.43,0.24
"MANIPUR","CHURACHANDPUR",0.0,12.14,7.25,4.89,4.87,3.83,1.03,4.0,3.83,0.17
"MANIPUR","IMPHAL EAST",0.01,12.51,7.1,5.41,9.73,8.24,1.49,8.44,8.24,0.2
"MANIPUR","IMPHAL WEST",0.44,9.38,5.19,4.19,12.21,6.7,5.51,7.09,6.92,0.17
"MANIPUR","SENAPATI",0.0,13.72,8.85,4.87,7.22,5.75,1.47,5.99,5.75,0.24
"MANIPUR","TAMENGLONG",0.0,9.69,6.03,3.66,3.51,2.88,0.63,2.96,2.79,0.17
"MANIPUR","THOUBAL",1.67,10.17,5.53,4.64,6.29,5.04,1.25,6.37,6.17,0.2
"MANIPUR","UKHRUL",0.0,8.24,4.34,3.9,3.53,2.43,1.1,2.7,2.43,0.27
"MEGHALAYA","StateHQ(MEGHALAYA)",0.0,0.0,0.0,0.0,1.85,1.85,0.0,1.85,1.85,0.0
"MEGHALAYA","EAST GARO HILLS",0.0,0.0,0.0,0.0,17.63,5.99,11.64,17.54,5.99,11.56
"MEGHALAYA","EAST KHASI HILLS",0.0,0.0,0.0,0.0,49.34,17.96,31.38,49.34,17.96,31.38
"MEGHALAYA","JAINTIA HILLS",0.0,0.0,0.0,0.0,34.42,19.99,14.43,34.42,19.99,14.43
"MEGHALAYA","RI BHOI",0.0,0.0,0.0,0.0,14.63,9.04,5.59,14.63,9.04,5.59
"MEGHALAYA","SOUTH GARO HILLS",0.0,0.0,0.0,0.0,7.65,2.33,5.32,7.65,2.33,5.32
"MEGHALAYA","WEST GARO HILLS",0.0,0.0,0.0,0.0,25.32,13.93,11.39,25.44,13.93,11.51
"MEGHALAYA","WEST KHASI HILLS",0.0,0.0,0.0,0.0,21.71,14.34,7.36,21.71,14.34,7.36
"MIZORAM","StateHQ(MIZORAM)",0.0,0.0,0.0,0.0,2.57,2.57,0.0,2.57,2.57,0.0
"MIZORAM","AIZAWL",1.27,0.0,0.0,0.0,12.55,11.52,1.03,12.86,11.83,1.03
"MIZORAM","CHAMPHAI",0.81,0.0,0.0,0.0,11.76,8.55,3.21,11.59,8.39,3.21
"MIZORAM","KOLASIB",0.16,0.0,0.0,0.0,3.05,2.86,0.19,3.05,2.86,0.19
"MIZORAM","LAWNGTLAI",0.03,0.0,0.0,0.0,6.61,5.8,0.8,6.61,5.81,0.8
"MIZORAM","LUNGLEI",1.35,0.0,0.0,0.0,10.59,8.55,2.03,10.27,8.24,2.03
"MIZORAM","MAMIT",2.63,0.0,0.0,0.0,6.08,5.19,0.89,7.18,6.29,0.89
"MIZORAM","SAIHA",0.17,0.0,0.0,0.0,7.39,5.37,2.02,7.43,5.41,2.02
"MIZORAM","SERCHHIP",0.38,0.0,0.0,0.0,2.86,2.65,0.21,2.87,2.66,0.21
"NAGALAND","StateHQ(NAGALAND)",0.0,1.11,1.09,0.0,0.95,0.95,0.0,0.35,0.35,0.0
"NAGALAND","DIMAPUR",0.33,0.86,0.86,0.0,14.52,12.48,2.05,14.78,12.74,2.05
"NAGALAND","KIPHIRE",0.0,0.55,0.55,0.0,7.23,5.83,1.39,7.19,5.79,1.39
"NAGALAND","KOHIMA",0.23,1.0,1.0,0.0,13.75,10.11,3.65,13.94,10.29,3.65
"NAGALAND","LONGLENG",0.0,0.53,0.53,0.0,4.31,4.03,0.28,4.28,3.99,0.28
"NAGALAND","MOKOKCHUNG",0.0,0.77,0.77,0.0,15.91,14.67,1.25,15.88,14.63,1.25
"NAGALAND","MON",0.17,0.36,0.36,0.0,8.36,6.84,1.52,8.49,6.97,1.52
"NAGALAND","PEREN",0.16,0.39,0.39,0.0,4.7,4.39,0.31,4.82,4.5,0.31
"NAGALAND","PHEK",0.3,0.27,0.27,0.0,5.66,4.15,1.51,5.92,4.41,1.51
"NAGALAND","TUENSANG",0.15,0.46,0.46,0.0,7.73,6.39,1.34,7.84,6.51,1.34
"NAGALAND","WOKHA",0.0,0.7,0.7,0.0,7.85,6.77,1.08,7.81,6.73,1.08
"NAGALAND","ZUNHEBOTO",0.22,0.56,0.56,0.0,5.64,4.72,0.92,5.83,4.91,0.92
"ORISSA","StateHQ(ORISSA)",0.66,9.05,6.36,2.69,12.0,9.2,2.8,12.27,9.58,2.69
"ORISSA","ANUGUL",1.78,9.51,5.44,4.07,10.52,6.7,3.82,11.32,6.83,4.49
"ORISSA","BALANGIR",2.21,16.57,9.24,7.32,19.8,12.15,7.64,18.22,10.46,7.76
"ORISSA","BALESHWAR",2.22,14.32,7.68,6.64,16.29,10.69,5.6,15.54,9.42,6.12
"ORISSA","BARGARH",1.45,12.14,6.55,5.6,12.34,7.36,4.98,12.61,7.17,5.44
"ORISSA","BAUDH",0.33,7.06,3.87,3.19,9.12,6.09,3.03,9.82,5.88,3.94
"ORISSA","BHADRAK",0.54,13.4,7.19,6.21,15.07,9.18,5.89,11.19,6.33,4.86
"ORISSA","CUTTACK",0.72,8.02,7.02,1.0,17.49,11.42,6.07,16.58,10.62,5.97
"ORISSA","DEBAGARH",0.59,3.94,2.12,1.82,4.65,2.73,1.92,4.82,2.7,2.12
"ORISSA","DHENKANAL",0.01,13.81,7.13,6.68,17.7,11.22,6.48,11.17,7.1,4.06
"ORISSA","GAJAPATI",0.53,4.45,2.96,1.49,6.0,4.23,1.77,4.65,2.86,1.79
"ORISSA","GANJAM",0.94,32.99,18.56,14.43,35.25,22.3,12.95,35.59,18.21,17.39
"ORISSA","JAGATSINGHAPUR",1.14,11.18,5.89,5.29,15.22,8.92,6.3,14.06,8.17,5.89
"ORISSA","JAJAPUR",2.1,13.24,6.9,6.33,14.69,8.96,5.73,10.92,7.9,3.02
"ORISSA","JHARSUGUDA",1.08,4.77,2.94,1.83,5.59,3.71,1.88,4.47,3.35,1.12
"ORISSA","KALAHANDI",2.0,11.41,6.33,5.08,11.45,7.04,4.42,9.03,5.06,3.97
"ORISSA","KANDHAMAL",0.41,9.56,5.28,4.28,10.33,6.46,3.87,11.04,6.82,4.22
"ORISSA","KENDRAPARA",0.03,13.99,7.95,6.04,17.67,11.2,6.47,14.81,8.37,6.44
"ORISSA","KENDUJHAR",1.86,8.05,7.36,0.68,16.11,10.6,5.51,14.11,8.5,5.61
