-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2010-11 (all figures are in Rs. Lakh) ", 
 "file_name": "spoutlay_1011_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/spoutlay_1011_ds.xls"
}
-----
"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-anticipated-expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-anticipated-expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-anticipated-expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-anticipated-expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-anticipated-expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-anticipated-expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-anticipated-expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-anticipated-expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-anticipated-expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-anticipated-expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-anticipated-expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-anticipated-expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-anticipated-expenditure","MP-Approved-Outlay","MP-Revised-Outlay-anticipated-expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-anticipated-expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-anticipated-expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-anticipated-expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-anticipated-expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-anticipated-expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-anticipated-expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-anticipated-expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-anticipated-expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-anticipated-expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-anticipated-expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-anticipated-expenditure","UP-Approved-Outlay","UP-Revised-Outlay-anticipated-expenditure","Uttrakhand-Approved-Outlay","Uttrakhand-Revised-Outlay-anticipated-expenditure","WB-Approved-Outlay","WB-Revised-Outlay-anticipated-expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-anticipated-expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-anticipated-expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-anticipated-expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-anticipated-expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-anticipated-expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-anticipated-expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-anticipated-expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-anticipated-expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-anticipated-expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-anticipated-expenditure"
"IV","2010-11","IRRIGATION & FLOOD CONTROL","1. Major and Medium Irrigation",1256371.34,907230.03,60.0,60.0,16527.0,43367.29,85725.8,56176.56,159179.6,159179.6,10720.0,10720.0,456005.82,456005.82,57500.0,57500.0,6200.0,6200.0,10174.5,10174.5,40800.0,40800.0,348047.0,360002.0,21800.0,21800.0,231807.72,231807.72,700532.0,700532.0,27575.0,36375.18,20.0,20.0,1.0,1.0,200.0,200.0,160805.0,122505.0,39081.0,18728.0,51501.46,44751.81,9424.0,9424.0,66992.76,32436.0,7558.47,5875.08,265336.0,183169.0,39971.59,39971.59,113762.4,113762.4,4183679.46,3668774.58,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,4183789.46,3668884.58
"IV","2010-11","IRRIGATION & FLOOD CONTROL","2. Minor Irrigation",202743.0,168141.5,7275.0,11390.56,13920.0,3348.93,22271.34,6490.67,6942.0,6942.0,5996.0,5996.0,98645.02,98645.02,"","",14148.0,14148.0,15231.99,15231.99,5000.0,5000.0,82815.0,78762.0,7824.0,7824.0,41626.87,41626.87,121523.0,121523.0,6282.0,6339.0,8600.0,8600.0,6250.0,5941.28,14134.0,14134.0,30015.0,22000.0,9096.0,16988.0,24846.63,14427.42,567.15,567.15,3966.25,4555.0,8105.93,1480.1,51697.0,56694.0,20894.76,20894.76,40848.02,40848.02,871263.96,798539.27,219.0,219.0,49.0,49.0,860.0,860.0,20.0,20.0,20.0,20.0,0.0,0.0,4091.0,1331.0,5259.0,2499.0,876522.96,801038.27
"IV","2010-11","IRRIGATION & FLOOD CONTROL","3. Command Area Development",1563.66,1556.46,76.0,151.0,655.0,1110.0,9000.0,5500.0,2138.1,2138.1,631.0,631.0,1137.56,1137.56,14100.0,14100.0,200.0,200.0,1800.0,1800.0,200.0,200.0,10400.0,10400.0,627.0,627.0,1000.0,1000.0,4355.0,4355.0,1200.0,2165.0,50.0,50.0,15.0,15.0,50.0,50.0,3043.0,4743.0,10000.0,21476.0,8759.11,9071.99,0.0,0.0,1435.37,2103.0,40.77,0.0,8715.0,6352.0,0.0,0.0,2400.0,2400.0,83591.57,93332.11,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,83841.57,93582.11
"IV","2010-11","IRRIGATION & FLOOD CONTROL","4. Flood Control (includes flood protection works)",25782.0,20269.8,2680.0,7039.42,6000.0,6000.0,89405.96,41203.71,500.0,500.0,6990.0,6990.0,11231.6,11231.6,7340.0,7340.0,10500.0,10500.0,3032.65,3032.65,1500.0,1500.0,1630.0,1630.0,3035.0,3035.0,1000.0,1000.0,1585.0,1585.0,3160.0,7902.68,250.0,250.0,0.0,0.0,68.0,68.0,17246.0,15450.0,6350.0,4521.53,200.0,200.0,920.0,920.0,10999.96,15539.0,2460.18,185.83,34634.0,29845.0,550.01,550.01,40832.6,40832.6,289882.96,239121.83,961.0,961.0,0.0,0.0,0.0,0.0,30.0,30.0,3780.0,3780.0,400.0,400.0,2992.0,2424.0,8163.0,7595.0,298045.96,246716.83
"IV","2010-11","IRRIGATION & FLOOD CONTROL","TOTAL - IV ",1486460.0,1097197.79,10091.0,18640.98,37102.0,53826.22,206403.1,109370.94,168759.7,168759.7,24337.0,24337.0,567020.0,567020.0,78940.0,78940.0,31048.0,31048.0,30239.14,30239.14,47500.0,47500.0,442892.0,450794.0,33286.0,33286.0,275434.59,275434.59,827995.0,827995.0,38217.0,52781.86,8920.0,8920.0,6266.0,5957.28,14452.0,14452.0,211109.0,164698.0,64527.0,61713.53,85307.2,68451.22,10911.15,10911.15,83394.34,54633.0,18165.35,7541.01,360382.0,276060.0,61416.36,61416.36,197843.02,197843.02,5428417.95,4799767.79,1180.0,1180.0,49.0,49.0,1110.0,1110.0,160.0,160.0,3800.0,3800.0,400.0,400.0,7083.0,3755.0,13782.0,10454.0,5442199.95,4810221.79
"V","2010-11","ENERGY","  ENERGY",49006.0,3155.71,31000.0,32056.58,38949.0,38754.0,168223.07,187346.07,26129.0,26129.0,18183.0,18183.0,196991.0,196991.0,549067.0,549067.0,35437.0,35437.0,45179.47,45179.47,77047.0,77047.0,336464.0,305772.0,104700.0,104700.0,165223.93,165223.93,274092.0,274092.0,13630.0,18854.7,60981.0,60981.0,7411.0,7540.0,5791.0,6052.34,146228.95,65660.0,330270.0,257772.29,1243400.14,873500.14,5858.07,5858.07,272428.45,272425.0,6788.74,5804.16,431359.0,488064.0,42712.51,42712.51,155693.0,155693.0,4838243.33,4320050.97,4469.0,4469.0,2527.0,2527.0,2775.0,2775.0,2159.0,2159.0,11080.0,11080.0,1200.0,1200.0,12960.0,7619.0,37170.0,31829.0,4875413.33,4351879.97
"VI","2010-11","INDUSTRY & MINERALS","1. Village & Small Enterprises    ",53896.28,53451.76,1256.0,1337.69,14904.0,14204.0,3161.0,1752.74,3894.09,3894.09,3074.3,3074.3,21592.5,21592.5,4802.0,4802.0,2607.0,2607.0,4185.29,4185.29,6959.0,6959.0,19682.0,0.0,24636.0,24636.0,12090.77,12090.77,8400.0,8400.0,3050.0,3060.0,550.0,550.0,3595.0,4466.0,2613.0,2613.0,6700.0,5920.0,3180.0,1250.0,1433.52,2420.06,721.65,721.65,40642.19,22381.0,1305.29,1095.37,13552.0,5706.0,2261.32,2261.32,27123.0,27123.0,291867.2,242554.54,647.0,647.0,0.0,0.0,190.0,190.0,69.0,69.0,2310.0,2310.0,200.0,200.0,2105.0,2545.0,5521.0,5961.0,297388.2,248515.54
"VI","2010-11","INDUSTRY & MINERALS","2. Other Industries (Other than VSE)",18627.32,15027.32,357.0,109.53,7170.0,6670.0,44083.66,9769.47,10454.7,10454.7,500.0,500.0,76922.5,76922.5,120090.0,120090.0,114.0,114.0,5870.0,5870.0,5841.0,5841.0,76471.0,0.0,17100.0,17100.0,18470.27,18470.27,13894.0,13894.0,7034.0,823.0,4000.0,4000.0,10.0,10.0,927.0,927.0,680.0,500.0,0.0,0.0,875.56,875.53,2550.0,2550.0,35802.0,25458.0,1831.47,1279.53,438176.0,295998.0,50.0,50.0,57910.75,57910.75,965812.23,691214.6,0.0,0.0,98.0,98.0,0.0,0.0,1001.0,1001.0,90.0,90.0,0.0,0.0,9495.0,7276.0,10684.0,8465.0,976496.23,699679.6
"VI","2010-11","INDUSTRY & MINERALS","3. Minerals",950.0,1100.0,473.0,1219.74,565.0,65.0,0.0,0.0,4618.0,4618.0,409.0,409.0,6067.0,6067.0,1603.0,1603.0,6.0,6.0,1165.0,1165.0,400.0,400.0,0.0,79105.0,15001.0,15001.0,954.55,954.55,0.0,0.0,30.0,30.0,300.0,300.0,70.0,70.0,1171.0,1171.0,100.0,180.0,0.0,0.0,12633.93,12550.0,52.0,52.0,41.43,109.0,0.0,0.0,0.0,0.0,150.0,150.0,297.93,297.93,47057.84,126623.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47057.84,126623.22
"VI","2010-11","INDUSTRY & MINERALS","TOTAL - (VI) ",73473.6,69579.08,2086.0,2666.96,22639.0,20939.0,47244.66,11522.21,18966.79,18966.79,3983.3,3983.3,104582.0,104582.0,126495.0,126495.0,2727.0,2727.0,11220.29,11220.29,13200.0,13200.0,96153.0,79105.0,56737.0,56737.0,31515.59,31515.59,22294.0,22294.0,10114.0,3913.0,4850.0,4850.0,3675.0,4546.0,4711.0,4711.0,7480.0,6600.0,3180.0,1250.0,14943.01,15845.59,3323.65,3323.65,76485.62,47948.0,3136.76,2374.9,451728.0,301704.0,2461.32,2461.32,85331.68,85331.68,1304737.27,1060392.36,647.0,647.0,98.0,98.0,190.0,190.0,1070.0,1070.0,2400.0,2400.0,200.0,200.0,11600.0,9821.0,16205.0,14426.0,1320942.27,1074818.36
"VII","2010-11","TRANSPORT","1. Minor Ports",5092.5,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.55,542.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,181.0,17081.0,17081.0,0.0,0.0,5234.0,5234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,572.35,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,33275.06,25245.9,1437.0,1437.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,15312.0,15312.0,400.0,400.0,17204.0,17204.0,50479.06,42449.9
"VII","2010-11","TRANSPORT","2. Civil Aviation",0.0,0.0,1225.0,1575.73,0.0,0.0,903.45,121.66,750.0,750.0,5040.1,5040.1,4000.0,4000.0,22.5,22.5,63.0,63.0,565.0,565.0,100.0,100.0,0.0,0.0,0.0,0.0,4400.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,603.0,603.0,200.0,100.0,1.0,445.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,4140.0,1905.03,1905.03,220.0,220.0,24268.08,24181.89,1500.0,1500.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,1565.0,25833.08,25746.89
"VII","2010-11","TRANSPORT","3. Roads and Bridges  ",180755.0,181455.0,57720.45,70294.61,59413.0,62104.0,450094.35,484986.85,107008.85,107008.85,21170.0,21170.0,274700.0,274700.0,100442.0,100442.0,53000.0,53138.14,77972.9,77972.9,70500.0,70500.0,213137.0,280491.0,51832.0,51832.0,182345.0,182345.0,345866.0,345866.0,7794.15,28107.41,27483.0,27483.0,13246.0,12831.0,10623.0,11217.0,124475.0,117119.0,51934.0,48634.5,75660.2,108900.12,7708.35,7708.35,218993.46,170462.0,20090.92,12576.38,302162.0,380331.0,73583.5,73583.5,78897.01,78897.01,3258607.14,3442156.62,14681.0,14681.0,300.0,300.0,2500.0,2500.0,3939.0,3939.0,217875.0,217875.0,1100.0,1100.0,21872.0,11572.0,262267.0,251967.0,3520874.14,3694123.62
"VII","2010-11","TRANSPORT","4. Road Transport",0.0,0.0,1500.0,1505.0,5239.0,5174.0,1250.85,1250.85,0.0,0.0,3376.9,3376.9,41100.0,41100.0,15750.0,15750.0,3320.0,3320.0,500.0,500.0,0.0,0.0,91657.0,89657.0,4819.0,4819.0,40750.0,40750.0,11484.0,11484.0,0.0,0.0,300.0,300.0,500.0,500.0,760.0,1024.07,1100.0,1000.0,351.0,361.1,14016.01,14331.0,378.91,378.91,20482.8,0.0,40.77,38.79,21026.0,17389.0,0.0,0.0,13247.64,13247.64,292949.88,267257.26,1621.0,1621.0,435.0,435.0,0.0,0.0,14.0,14.0,84900.0,84900.0,100.0,100.0,2827.0,1127.0,89897.0,88197.0,382846.88,355454.26
"VII","2010-11","TRANSPORT","5. Inland Water Transport",0.0,0.0,0.0,0.0,850.0,550.0,0.0,0.0,0.0,0.0,701.45,701.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5808.0,5808.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,60.0,50.65,91600.0,80000.0,0.0,0.0,0.0,0.0,0.0,20558.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.35,1007.35,100151.8,108800.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100151.8,108800.45
"VII","2010-11","TRANSPORT","6. Other Transport Services",13730.0,13730.0,274.0,278.0,0.0,0.0,0.0,0.0,-3991.1,-3991.1,8.0,8.0,0.0,0.0,0.0,0.0,2510.0,2510.0,364.47,364.47,13000.0,13000.0,100.0,100.0,9100.0,9100.0,0.0,0.0,59587.0,59587.0,1105.0,877.28,65.0,65.0,110.0,110.0,273.0,273.0,1000.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.45,132.77,0.0,0.0,4063.01,4063.01,11103.0,11103.0,112761.83,112110.43,14000.0,14000.0,44.0,44.0,14.0,14.0,0.0,0.0,126000.0,126000.0,0.0,0.0,0.0,0.0,140058.0,140058.0,252819.83,252168.43
"VII","2010-11","TRANSPORT","TOTAL - (VII)",199577.5,196820.0,60719.45,73653.34,65502.0,67828.0,452248.65,486359.36,103767.75,103767.75,30839.0,30839.0,319800.0,319800.0,116214.5,116214.5,58893.0,59031.14,79402.37,79402.37,83600.0,83600.0,309694.0,370429.0,88640.0,88640.0,227495.0,227495.0,422291.0,422291.0,8899.15,28984.69,27848.0,27848.0,13991.0,13576.0,12259.0,13117.07,127360.0,119642.0,143886.0,129441.47,89676.21,123231.12,8087.26,8087.26,239476.27,191020.0,20492.14,12747.94,327328.0,401860.0,79551.54,79551.54,104475.0,104475.0,3822013.79,3979752.55,33239.0,33239.0,779.0,779.0,2514.0,2514.0,4073.0,4073.0,428775.0,428775.0,16512.0,16512.0,25099.0,13099.0,510991.0,498991.0,4333004.79,4478743.55
"VIII","2010-11","SCIENCE,TECHNOLOGY & ENVIRONMENT","1. Scientific Research ",70.0,52.5,1343.0,1363.01,3056.0,1640.0,800.0,300.0,731.0,731.0,219.0,219.0,49659.88,49659.88,800.0,800.0,350.0,350.0,1219.0,1219.0,150.0,150.0,2836.0,3136.0,7142.0,7142.0,2175.0,2175.0,750.0,750.0,100.0,100.0,250.0,250.0,200.0,200.0,137.0,137.0,1862.05,1397.0,240.0,190.0,500.0,500.0,195.4,195.4,412.32,542.0,194.2,94.9,1800.0,1789.0,150.0,150.0,2257.0,2257.0,79598.85,77489.69,64.0,64.0,29.0,29.0,20.0,20.0,40.0,40.0,0.0,0.0,1235.0,1235.0,100.0,100.0,1488.0,1488.0,81086.85,78977.69
"VIII","2010-11","SCIENCE,TECHNOLOGY & ENVIRONMENT","2. Information Technology & E-Governance",60.0,45.0,0.0,0.0,7000.0,6641.0,21806.51,9498.68,4086.3,4086.3,7912.0,7912.0,5460.0,5460.0,0.0,0.0,1600.0,2032.0,0.0,0.0,5828.0,5828.0,8450.0,9336.0,0.0,0.0,3676.0,3676.0,500.0,500.0,506.0,1529.3,500.0,500.0,380.0,266.33,603.0,603.0,9970.0,9420.0,2451.35,2197.35,6575.84,6575.84,350.0,350.0,3200.0,3986.0,1591.93,1459.58,0.0,0.0,1302.0,1302.0,7536.0,7536.0,101344.93,90740.38,215.0,215.0,915.0,915.0,0.0,0.0,175.0,175.0,5000.0,5000.0,725.0,725.0,230.0,424.0,7260.0,7454.0,108604.93,98194.38
"VIII","2010-11","SCIENCE,TECHNOLOGY & ENVIRONMENT","3. Ecology & Environment",200.0,87.5,25.0,250.47,20.0,20.0,300.0,50.0,50.0,50.0,300.0,300.0,8584.0,8584.0,280.0,280.0,50.0,50.0,100.0,100.0,0.0,0.0,1000.0,1147.0,722.0,722.0,1327.13,1327.13,1020.0,1020.0,858.02,1488.02,75.0,75.0,4.0,4.0,0.0,0.0,400.02,856.0,1209.0,308.0,342.05,1377.15,0.08,0.08,290.0,331.0,77.47,42.06,732.0,130.0,1345.02,1345.02,1800.0,1800.0,21110.79,21744.43,0.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,1400.0,1400.0,150.0,150.0,75.0,75.0,1780.0,1780.0,22890.79,23524.43
"VIII","2010-11","SCIENCE,TECHNOLOGY & ENVIRONMENT","4. Forestry & Wildlife",5219.02,4342.02,4682.0,5465.43,6621.0,7421.0,4162.4,3767.9,27933.5,27933.5,1576.7,1576.7,3825.0,3825.0,13124.0,13124.0,11941.0,12156.0,2250.0,2250.0,12871.0,12871.0,16152.0,20937.0,7050.0,7050.0,34923.58,34923.58,16751.0,16751.0,2969.0,2969.0,3025.0,3025.0,5530.0,3777.51,2786.0,2786.0,18546.98,18568.0,1342.8,1014.18,8000.02,8870.65,3981.87,3981.87,13148.54,15388.0,11174.33,5799.1,16701.0,11893.0,11747.81,11747.81,9128.0,9128.0,277163.55,273342.25,2461.0,2461.0,1601.0,1601.0,409.0,409.0,209.0,209.0,2000.0,2000.0,90.0,90.0,200.0,200.0,6970.0,6970.0,284133.55,280312.25
"VIII","2010-11","SCIENCE,TECHNOLOGY & ENVIRONMENT","TOTAL - (VIII) ",5549.02,4527.02,6050.0,7078.91,16697.0,15722.0,27068.91,13616.58,32800.8,32800.8,10007.7,10007.7,67528.88,67528.88,14204.0,14204.0,13941.0,14588.0,3569.0,3569.0,18849.0,18849.0,28438.0,34556.0,14914.0,14914.0,42101.71,42101.71,19021.0,19021.0,4433.02,6086.32,3850.0,3850.0,6114.0,4247.84,3526.0,3526.0,30779.05,30241.0,5243.15,3709.53,15417.91,17323.64,4527.35,4527.35,17050.86,20247.0,13037.93,7395.64,19233.0,13812.0,14544.83,14544.83,20721.0,20721.0,479218.12,463316.75,2740.0,2740.0,2700.0,2700.0,429.0,429.0,424.0,424.0,8400.0,8400.0,2200.0,2200.0,605.0,799.0,17498.0,17692.0,496716.12,481008.75
"IX","2010-11","GENERAL ECONOMIC SERVICES","1. Secretariat Economic Services",61795.97,57018.22,485.0,1274.96,6323.0,7836.61,34251.0,29631.17,4550.0,4550.0,2218.0,2218.0,712.5,712.5,630.0,630.0,350.0,350.0,47197.18,47197.18,5305.0,5305.0,100.0,200.0,8247.0,8247.0,12272.19,12272.19,"","",94609.58,6574.06,2177.0,2177.0,4671.85,869.52,0.0,0.0,400.0,400.0,6842.3,8072.5,4072.14,4565.1,8884.0,8884.0,438.1,753.0,13516.9,616.16,105097.0,61997.0,825.0,825.0,211.98,211.98,426182.69,273388.15,433.0,433.0,1.0,1.0,30.0,30.0,1.0,1.0,131.0,131.0,5.0,5.0,5060.0,203.0,5661.0,804.0,431843.69,274192.15
"IX","2010-11","GENERAL ECONOMIC SERVICES","2. Tourism",620.0,708.94,1298.97,1308.02,2788.0,2793.2,3043.89,2975.18,4535.0,4535.0,5774.0,5774.0,20800.0,20800.0,1830.0,1830.0,745.0,745.0,13249.97,13249.97,2500.0,2500.0,19629.0,20659.0,0.0,0.0,2500.0,2500.0,28328.0,28328.0,210.0,263.0,700.0,700.0,390.0,425.0,1100.0,1144.0,2280.0,1880.0,591.0,477.86,2500.01,2803.39,2498.38,2498.38,3823.19,2273.0,136.68,202.65,7661.0,7401.0,7805.53,7805.53,3900.0,3900.0,141237.62,140480.12,2500.0,2500.0,100.0,100.0,247.0,247.0,440.0,440.0,850.0,850.0,400.0,400.0,6158.0,8168.0,10695.0,12705.0,151932.62,153185.12
"IX","2010-11","GENERAL ECONOMIC SERVICES","3. Census, Surveys & Statistics",495.5,495.5,560.0,277.0,1210.0,1010.0,367.0,149.82,1857.41,1857.41,1696.0,1696.0,729.0,729.0,16.0,16.0,0.0,0.0,16964.83,16964.83,0.0,0.0,20.0,26.0,0.0,0.0,36494.0,36494.0,3914.0,3914.0,265.0,85.0,150.0,150.0,360.0,242.0,756.0,756.0,218.0,218.0,198.1,192.6,219.3,178.25,284.2,284.2,84.45,685.0,27.83,12.35,91.0,361.0,114.38,114.38,25.0,25.0,67117.0,66933.34,73.0,73.0,1.0,1.0,3.0,3.0,18.0,18.0,0.0,0.0,31.0,31.0,30.0,30.0,156.0,156.0,67273.0,67089.34
"IX","2010-11","GENERAL ECONOMIC SERVICES","4. Civil Supplies",8766.2,8766.2,687.0,1332.02,378.0,378.0,1983.97,1971.76,50016.0,50016.0,2.0,2.0,16930.13,16930.13,0.0,0.0,7.0,7.0,0.0,0.0,48465.0,48465.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,0.0,9.2,9.2,110.0,110.0,320.0,357.0,203.0,203.0,84.0,93.0,243.7,119.0,750.03,725.0,44.29,44.29,4000.07,3159.0,33.18,24.45,0.0,0.0,628.63,628.63,915.92,915.92,135177.32,134856.6,440.0,440.0,41.0,41.0,10.0,10.0,6.0,6.0,0.0,0.0,320.0,320.0,1500.0,1200.0,2317.0,2017.0,137494.32,136873.6
"IX","2010-11","GENERAL ECONOMIC SERVICES","5. Other General Economic Services :",20.0,20.0,39825.78,9196.31,7475.0,6985.0,10672.95,0.0,86.0,86.0,200.0,200.0,52494.87,52494.87,23055.0,23055.0,8243.0,8243.0,6120.0,6120.0,0.0,0.0,77206.0,75157.0,477.0,477.0,33.0,33.0,23801.0,23801.0,5790.0,9050.0,16508.0,16508.0,5007.0,6117.0,17089.0,8597.53,30385.0,19999.2,0.0,0.0,1051.55,225.01,0.0,0.0,18.0,27.0,12.96,10.78,139362.0,0.0,0.0,0.0,819.08,819.08,465752.19,267221.78,0.0,0.0,1.0,1.0,26.0,26.0,4.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,41.0,41.0,465793.19,267262.78
"IX","2010-11","GENERAL ECONOMIC SERVICES","TOTAL - (IX)",71697.67,67008.86,42856.75,13388.31,18174.0,19002.81,50318.81,34727.93,61044.41,61044.41,9890.0,9890.0,91666.5,91666.5,25531.0,25531.0,9345.0,9345.0,83531.98,83531.98,56270.0,56270.0,96955.0,96042.0,8724.0,8724.0,51899.19,51899.19,56043.0,56043.0,100883.78,15981.26,19645.0,19645.0,10748.85,8010.52,19148.0,10700.53,33367.0,22590.2,7875.1,8861.96,8593.03,8496.75,11710.87,11710.87,8363.81,6897.0,13727.55,866.39,252211.0,69759.0,9373.54,9373.54,5871.98,5871.98,1235466.82,882879.99,3446.0,3446.0,144.0,144.0,316.0,316.0,469.0,469.0,981.0,981.0,761.0,761.0,12753.0,9606.0,18870.0,15723.0,1254336.82,898602.99
"X","2010-11","SOCIAL SERVICES","Education: 1. General Education",175155.42,182895.27,12093.4,13544.38,58700.0,58335.0,250050.0,280042.06,302900.47,302900.47,9354.0,9354.0,134500.0,134500.0,126500.0,126500.0,26510.0,26510.0,86691.32,86691.32,98300.0,98300.0,223988.0,277297.0,30654.0,30654.0,265399.25,265399.25,141558.0,141558.0,8926.77,9874.02,14100.0,14100.0,13750.0,15192.0,7636.0,7716.0,102854.57,102955.0,59843.11,78519.37,142736.39,143916.92,16471.46,16471.46,92432.4,94637.0,14797.87,13131.69,309196.0,386531.0,49518.61,49518.61,115803.6,115803.6,2890420.64,3082847.42,9982.0,9982.0,5860.0,5860.0,3610.0,3610.0,1072.0,1072.0,79600.0,79600.0,1600.0,1600.0,22400.9,12904.0,124124.9,114628.0,3014545.54,3197475.42
"X","2010-11","SOCIAL SERVICES","Education: 2. Technical Education",53463.0,28946.0,0.0,"",4030.0,3449.0,11251.88,9751.88,5924.16,5924.16,3851.0,3851.0,38000.0,38000.0,19000.0,19000.0,4165.0,4165.0,1876.15,1876.15,7850.0,7850.0,11940.0,13345.0,6446.0,6446.0,6635.7,6635.7,27792.0,27792.0,638.27,820.64,1300.0,1300.0,300.0,320.0,394.0,394.0,3700.0,3700.0,4529.0,4698.0,3976.03,5529.03,34.5,34.5,4909.7,7925.0,209.78,94.09,14666.0,13382.0,5001.07,5001.07,35740.4,35740.4,277623.64,255970.62,1222.0,1222.0,1114.0,1114.0,193.0,193.0,290.0,290.0,16525.0,16525.0,0.0,0.0,10700.0,8243.0,30044.0,27587.0,307667.64,283557.62
"X","2010-11","SOCIAL SERVICES","Education: 3. Sports & Youth Services ",6131.0,5441.0,977.0,1697.73,1985.0,1740.0,3713.0,3712.99,3487.0,3487.0,4623.0,4623.0,4897.54,4897.54,2070.0,2070.0,1249.0,1249.0,7200.0,7200.0,3405.0,3405.0,7246.0,7529.0,9450.0,9450.0,5300.0,5300.0,14493.0,14493.0,1302.44,4401.14,1850.0,1850.0,1648.0,1643.0,4301.0,4288.56,1000.0,930.0,2938.56,2791.09,868.39,857.91,996.49,996.49,2875.7,2187.0,298.5,754.06,5611.0,5961.0,3061.78,3061.78,8279.0,8279.0,111257.4,114296.29,263.0,263.0,1751.0,1751.0,18.0,18.0,300.0,300.0,14410.0,14410.0,300.0,300.0,979.1,1219.0,18021.1,18261.0,129278.5,132557.29
