-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2011-12 (all figures are in Rs. Lakh) ", 
 "file_name": "spout_1112_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/spout_1112_ds.xls"
}
-----
"no","finanical_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-or-Anticipated-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-or-Anticipated-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-or-Anticipated-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-or-Anticipated-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-or-Anticipated-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-or-Anticipated-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-or-Anticipated-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-or-Anticipated-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-or-Anticipated-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-or-Anticipated-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-or-Anticipated-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay-or-Anticipated-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-or-Anticipated-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-or-Anticipated-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-or-Anticipated-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-or-Anticipated-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-or-Anticipated-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-or-Anticipated-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-or-Anticipated-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-or-Anticipated-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-or-Anticipated-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-or-Anticipated-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-or-Anticipated-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay-or-Anticipated-Expenditure","Uttarakhand-Approved-Outlay","Uttarakhand-Revised-Outlay-or-Anticipated-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay-or-Anticipated-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-or-Anticipated-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-or-Anticipated-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-or-Anticipated-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-or-Anticipated-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-or-Anticipated-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-or-Anticipated-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-or-Anticipated-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-or-Anticipated-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-or-Anticipated-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-or-Anticipated-Expenditure"
"III","2011-12","SPECIAL AREAS PROGRAMMES","SPECIAL AREAS PROGRAMMES",2500.0,2500.0,13715.73,13715.73,125723.0,128238.71,195054.5,82180.0,72849.0,72849.0,1456.25,1456.25,14895.0,14895.0,3000.0,3000.0,2401.0,2401.0,39022.87,39022.87,102555.0,109745.0,52279.0,52279.0,16151.0,16151.0,103398.0,103398.0,18548.0,18548.0,2896.0,2937.0,2581.0,2728.0,8459.0,8597.1,10080.0,10080.0,153997.0,169233.0,0.0,0.0,12634.0,12634.0,4097.0,4097.0,18400.0,18400.0,13727.0,16910.65,109575.0,76875.0,0.0,0.0,141362.42,141362.42,1241356.77,1124233.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241356.77,1124233.73
"IV","2011-12","IRRIGATION & FLOOD CONTROL","1. Major and Medium Irrigation",1205446.5,1205446.5,72.0,72.0,15163.0,15073.0,98486.09,68486.0,20408.0,20408.0,11066.4,11066.4,808010.44,808010.44,60000.0,75075.0,10177.0,10177.0,12582.46,12582.46,142400.0,22300.0,543400.0,543400.0,27110.0,27110.0,139885.26,139885.26,612400.07,612400.07,26225.0,22822.41,55.0,55.0,1.0,1.0,0.0,0.0,131000.0,119954.0,50356.0,23642.68,60987.12,60987.12,0.0,0.0,37089.0,48169.0,3815.08,2388.67,191998.0,145000.0,29051.6,29051.6,8600.21,8600.21,4245785.23,4032163.82,0.0,0.0,0.0,0.0,175.0,175.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,4246244.23,4032622.82
"IV","2011-12","IRRIGATION & FLOOD CONTROL","2. Minor Irrigation",256358.0,256358.0,7407.19,7407.19,19246.0,21686.0,25546.34,16469.34,75836.0,75836.0,6905.6,6905.6,114052.44,114052.44,0.0,0.0,16189.0,16189.0,20981.99,20981.99,11100.0,11100.0,95676.0,95676.0,7533.0,7533.0,49904.41,49904.41,138014.74,138014.74,6342.0,6342.0,9655.0,9655.0,7840.0,5360.0,163.0,163.0,59240.0,38390.0,14033.0,18869.5,25700.78,25700.78,394.96,394.96,17383.0,9117.0,9930.78,1658.57,61903.0,51400.0,23495.05,23495.05,39048.02,39048.02,1119879.3,1067707.59,239.0,239.0,20.0,39.0,1011.0,1011.0,20.0,20.0,5.0,5.0,0.0,0.0,2015.0,1492.73,3310.0,2806.73,1123189.3,1070514.32
"IV","2011-12","IRRIGATION & FLOOD CONTROL","3. Command Area Development",2652.5,2652.5,300.0,300.0,1928.0,1736.0,9000.0,4037.8,2196.0,2196.0,692.0,692.0,1362.74,1362.74,9000.0,9000.0,1000.0,1000.0,1800.0,1800.0,200.0,200.0,43815.0,43815.0,425.0,425.0,1825.0,1825.0,4400.0,4400.0,1700.0,2627.02,55.0,55.0,15.0,15.0,100.0,100.0,7600.0,7000.0,25500.0,21390.42,10200.24,10200.24,55.0,55.0,2467.0,3185.0,50.0,944.41,29478.0,14299.0,0.0,0.0,2400.0,2400.0,160216.48,137713.13,0.0,0.0,0.0,0.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3350.0,350.0,163566.48,138063.13
"IV","2011-12","IRRIGATION & FLOOD CONTROL","4. Flood Control (includes flood protection works)",32506.0,32506.0,3976.0,3976.0,64887.25,65137.25,98389.13,83639.42,105720.0,105720.0,7995.0,7995.0,9331.18,9331.18,10000.0,14425.0,9253.0,9253.0,9666.19,9666.19,1800.0,36900.0,1450.0,1450.0,20035.0,20035.0,113050.0,113050.0,2902.4,2902.4,9722.0,13595.0,3075.0,3075.0,0.0,0.0,14500.0,14600.0,27000.0,18875.0,13147.0,10399.0,200.0,200.0,13942.0,13942.0,18280.0,2762.0,3692.14,1099.71,53500.0,30000.0,1050.01,1050.01,140224.79,140224.79,789294.09,765808.95,1523.0,1523.0,0.0,0.0,0.0,0.0,240.0,240.0,5995.0,5995.0,300.0,300.0,3000.0,1828.53,11058.0,9886.53,800352.09,775695.48
"IV","2011-12","IRRIGATION & FLOOD CONTROL","TOTAL - IRRIGATION & FLOOD CONTROL",1496963.0,1496963.0,11755.19,11755.19,101224.25,103632.25,231421.56,172632.56,204160.0,204160.0,26659.0,26659.0,932756.8,932756.8,79000.0,98500.0,36619.0,36619.0,45030.64,45030.64,155500.0,70500.0,684341.0,684341.0,55103.0,55103.0,304664.67,304664.67,757717.21,757717.21,43989.0,45386.43,12840.0,12840.0,7856.0,5376.0,14763.0,14863.0,224840.0,184219.0,103036.0,74301.6,97088.14,97088.14,14391.96,14391.96,75219.0,63233.0,17488.0,6091.36,336879.0,240699.0,53596.66,53596.66,190273.02,190273.02,6315175.1,6003393.49,1762.0,1762.0,20.0,39.0,1536.0,1536.0,544.0,544.0,6000.0,6000.0,300.0,300.0,8015.0,3321.26,18177.0,13502.26,6333352.1,6016895.75
"V","2011-12","ENERGY","ENERGY",65593.0,65593.0,22463.91,22463.91,50497.0,43925.0,168223.1,82578.1,28690.0,28690.0,20330.0,20330.0,201901.0,201901.0,163680.0,115836.1,46160.0,46160.0,47800.0,47800.0,160000.0,40000.0,440658.0,440658.0,112300.0,112300.0,198791.01,198791.01,304635.92,304635.92,14608.0,17130.8,56632.0,56632.0,9125.0,9086.0,6100.0,8106.33,251049.95,68840.0,331166.0,257102.08,1206700.14,1206700.14,2554.22,2554.22,206779.0,206780.0,3395.96,1816.33,403724.0,578901.0,40395.68,40395.68,168857.0,168857.0,4732809.89,4394563.62,6890.0,6890.0,4170.0,3970.0,4758.0,4758.0,3699.0,3699.0,250900.0,250900.0,2550.0,2550.0,15515.0,7329.84,288482.0,280096.84,5021291.89,4674660.46
"VI","2011-12","INDUSTRY & MINERALS","1. Village & Small Enterprises    ",43401.71,43401.71,1033.0,1033.0,6697.7,6140.7,25914.62,15614.62,3095.0,3095.0,3131.95,3131.95,15736.45,15736.45,5500.0,5500.0,2575.0,2575.0,5999.9,5999.9,11291.0,10291.0,33064.0,33064.0,24436.0,24436.0,12839.3,12839.3,7507.64,7507.64,3030.0,2630.0,2000.0,2000.0,2654.5,2664.5,2500.0,3222.09,8210.0,7909.0,5812.3,560.0,2891.31,2891.31,565.06,565.06,29328.0,771.0,1183.91,1693.64,8415.0,5214.0,2647.72,2647.72,28655.0,28655.0,300116.07,251789.59,669.0,669.0,0.0,0.0,242.0,242.0,57.0,57.0,1841.0,1841.0,300.0,300.0,2172.5,2612.5,5281.5,5721.5,305397.57,257511.09
"VI","2011-12","INDUSTRY & MINERALS","2. Other Industries (Other than VSE)",18742.13,18742.13,197.0,197.0,7337.02,10456.48,21330.04,16330.04,12036.0,12036.0,500.0,500.0,98255.72,98255.72,60.0,2060.0,121.0,121.0,7820.0,7820.0,7709.0,6709.0,32721.0,32721.0,22030.0,22030.0,23168.12,23168.12,21858.85,21858.85,60.0,50.0,2040.0,1946.0,10.0,10.0,1000.0,1053.56,740.0,600.0,0.0,0.0,1504.02,1504.02,100.0,100.0,2271.0,23714.0,2012.0,1497.05,415142.0,444936.0,50.0,50.0,52086.89,52086.89,750901.79,800552.86,0.0,0.0,150.0,134.0,0.0,0.0,461.0,461.0,649.0,649.0,0.0,0.0,7731.0,7595.0,8991.0,8839.0,759892.79,809391.86
"VI","2011-12","INDUSTRY & MINERALS","3. Minerals",1100.0,1100.0,332.0,332.0,639.0,478.0,0.0,0.0,10530.0,10530.0,10770.0,10770.0,4166.0,4166.0,100.0,100.0,6.0,6.0,1320.0,1320.0,400.0,400.0,0.0,0.0,162.0,162.0,1110.0,1110.0,868.89,868.89,1818.75,1598.75,500.0,1164.0,100.0,100.0,964.0,1024.0,60.0,200.0,0.0,0.0,13454.73,13454.73,49.55,49.55,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,373.89,373.89,48954.81,49437.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48954.81,49437.81
"VI","2011-12","INDUSTRY & MINERALS","TOTAL - INDUSTRY & MINERALS",63243.84,63243.84,1562.0,1562.0,14673.72,17075.18,47244.66,31944.66,25661.0,25661.0,14401.95,14401.95,118158.17,118158.17,5660.0,7660.0,2702.0,2702.0,15139.9,15139.9,19400.0,17400.0,65785.0,65785.0,46628.0,46628.0,37117.42,37117.42,30235.38,30235.38,4908.75,4278.75,4540.0,5110.0,2764.5,2774.5,4464.0,5299.65,9010.0,8709.0,5812.3,560.0,17850.06,17850.06,714.61,714.61,31599.0,24485.0,3195.91,3190.69,423557.0,450150.0,2827.72,2827.72,81115.78,81115.78,1099972.67,1101780.26,669.0,669.0,150.0,134.0,242.0,242.0,518.0,518.0,2490.0,2490.0,300.0,300.0,9903.5,10207.5,14272.5,14560.5,1114245.17,1116340.76
"VII","2011-12","TRANSPORT","1. Minor Ports",4500.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,929.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,23081.0,23081.0,0.0,0.0,11690.16,11690.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50605.16,50580.16,1537.0,1537.0,0.0,0.0,0.0,0.0,210.0,210.0,0.0,0.0,14900.0,14900.0,400.0,375.0,17047.0,17022.0,67652.16,67602.16
"VII","2011-12","TRANSPORT","2. Civil Aviation",6900.0,6900.0,236.65,236.65,0.0,0.0,945.0,645.0,1651.0,1651.0,2050.0,2050.0,6000.0,6000.0,85.0,135.0,133.0,133.0,4000.0,4000.0,6000.0,1000.0,0.0,0.0,0.0,0.0,3150.0,3150.0,403556.39,403556.39,0.0,0.0,0.0,0.0,100.0,90.0,0.0,0.0,3872.0,372.0,2401.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,3517.0,2005.03,2005.03,230.0,230.0,447455.07,436442.07,2632.0,2632.0,0.0,0.0,0.0,0.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,3046.0,3046.0,450501.07,439488.07
"VII","2011-12","TRANSPORT","3. Roads and Bridges  ",226932.0,226932.0,23797.64,23797.64,78089.68,79203.68,472417.35,482531.93,142681.0,142681.0,23689.2,23689.2,316076.52,316076.52,127168.0,107598.0,59972.0,59972.0,77033.9,77033.9,170000.0,80000.0,359891.0,359891.0,62596.0,62596.0,206238.0,206238.0,0.0,0.0,26192.0,23978.23,27830.0,28404.0,12214.22,8604.76,13105.0,17333.53,159033.0,131249.0,60701.0,47500.0,121607.13,121607.13,7433.51,7433.51,220623.0,125019.0,16567.75,18216.74,249179.0,300000.0,99678.01,99678.01,88419.01,88419.01,3449164.92,3265683.79,16226.0,16226.0,270.0,247.0,7521.0,7521.0,8059.0,8059.0,165000.0,165000.0,1200.0,1200.0,24900.0,11046.39,223176.0,209299.39,3672340.92,3474983.18
"VII","2011-12","TRANSPORT","4. Road Transport",0.0,0.0,989.0,989.0,5781.0,5447.0,1250.85,1250.85,0.0,0.0,9161.0,9161.0,44000.0,44000.0,16500.0,16500.0,1565.0,1565.0,500.0,500.0,0.0,0.0,62163.0,62163.0,5319.0,5319.0,44808.2,44808.2,9750.0,9750.0,0.0,0.0,300.0,300.0,507.34,499.34,3818.0,3818.33,1200.0,600.0,1860.42,50.0,15120.82,15120.82,221.31,221.31,26767.0,14265.0,59.93,21.27,11263.0,6211.0,0.0,0.0,14405.94,14405.94,277310.81,256966.06,2168.0,2168.0,509.0,357.0,0.0,0.0,0.0,0.0,82725.0,82725.0,100.0,100.0,2927.0,927.0,88429.0,86277.0,365739.81,343243.06
"VII","2011-12","TRANSPORT","5. Inland Water Transport",0.0,0.0,0.0,0.0,500.0,614.0,0.0,0.0,0.0,0.0,639.65,639.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11163.0,11163.0,0.0,0.0,102.01,102.01,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,65.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.05,914.05,13388.71,13462.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13388.71,13462.71
"VII","2011-12","TRANSPORT","6. Other Transport Services",54533.0,54533.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,520.0,407.0,407.0,45500.0,66500.0,100.0,100.0,11280.0,11280.0,0.0,0.0,52450.0,52450.0,30.0,5.0,1100.0,1300.0,130.0,121.0,0.0,0.0,1600.0,600.0,91600.0,91600.0,0.0,0.0,0.0,0.0,0.0,0.0,53.06,438.16,0.0,0.0,14630.58,14630.58,21625.0,21625.0,295775.64,316326.74,32671.0,32671.0,75.0,47.0,13.0,13.0,0.0,0.0,107070.0,107070.0,0.0,0.0,0.0,0.0,139829.0,139801.0,435604.64,456127.74
"VII","2011-12","TRANSPORT","TOTAL - TRANSPORT",292865.0,292865.0,25240.29,25240.29,84370.68,85264.68,474613.2,484427.78,144332.0,144332.0,36468.85,36468.85,371076.52,371076.52,143753.0,124233.0,62190.0,62190.0,81940.9,81940.9,221500.0,147500.0,427154.0,427154.0,113439.0,113439.0,254196.2,254196.2,477548.56,477548.56,26222.0,23983.23,29230.0,30004.0,12956.56,9320.1,16923.0,21151.86,166175.0,133226.0,156562.42,139921.0,136727.95,136727.95,7654.82,7654.82,247390.0,139284.0,16680.74,18676.17,264582.0,309728.0,116313.62,116313.62,125594.0,125594.0,4533700.31,4339461.53,55234.0,55234.0,854.0,651.0,7534.0,7534.0,8683.0,8683.0,354795.0,354795.0,16200.0,16200.0,28227.0,12348.39,471527.0,455445.39,5005227.31,4794906.92
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","1. Scientific Research ",52.5,52.5,602.28,602.28,1595.0,1063.0,800.0,800.0,970.0,970.0,223.4,223.4,14127.58,14127.58,850.0,1900.0,850.0,850.0,350.0,350.0,100.0,100.0,3818.0,3818.0,7642.0,7642.0,2352.0,2352.0,750.0,750.0,163.0,113.0,335.0,335.0,197.0,197.0,150.0,150.0,2351.05,2350.0,490.0,395.16,610.22,610.22,88.52,88.52,481.0,583.0,146.93,132.77,1774.0,1000.0,2822.5,2822.5,2480.0,2480.0,47171.98,46857.93,66.0,66.0,47.0,47.0,20.0,20.0,58.0,58.0,10.0,10.0,2000.0,2000.0,100.0,100.0,2301.0,2301.0,49472.98,49158.93
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","2. Information Technology & E-Governance",210.0,210.0,976.41,976.41,6710.0,6354.0,20721.51,14585.98,3653.0,3653.0,5728.0,5728.0,58538.67,58538.67,2402.0,2402.0,1741.0,1741.0,982.2,982.2,6100.0,3100.0,12778.0,12778.0,17339.0,17339.0,2817.0,2817.0,500.0,500.0,746.0,579.8,1300.0,1300.0,380.0,219.63,800.0,800.0,10983.4,7642.0,2450.05,2704.0,0.0,0.0,221.39,221.39,1776.0,1676.0,400.85,16.48,0.0,0.0,1376.0,1376.0,8936.0,8936.0,170566.48,157176.56,396.0,396.0,896.0,815.0,0.0,0.0,245.0,245.0,4500.0,4500.0,1500.0,1500.0,232.4,219.81,7769.4,7675.81,178335.88,164852.37
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","3. Ecology & Environment",500.0,500.0,30.0,30.0,20.0,20.0,2707.9,1207.9,50.0,50.0,299.0,299.0,9199.0,9199.0,300.0,243.22,50.0,50.0,100.0,100.0,0.0,0.0,1180.0,1180.0,1522.0,1522.0,1440.0,1440.0,1600.0,1600.0,1735.0,1885.0,135.0,135.0,4.0,4.0,0.0,0.0,2126.0,2275.0,1141.5,638.0,2441.56,2441.56,18.44,18.44,418.0,418.0,50.0,35.83,374.0,100.0,0.0,0.0,2400.0,2400.0,29841.4,27791.95,0.0,0.0,330.0,296.0,0.0,0.0,8.0,8.0,1140.0,1140.0,300.0,300.0,75.0,75.0,1853.0,1819.0,31694.4,29610.95
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","4. Forestry & Wildlife",5211.0,5211.0,3590.0,3590.0,7047.0,7542.0,1754.5,1754.5,32850.0,32850.0,1682.25,1682.25,6453.1,6453.1,14650.0,14650.0,12008.0,12008.0,2250.0,2250.0,11200.16,11200.16,17759.0,17759.0,7537.0,7537.0,43858.34,43858.34,27688.76,27688.76,4429.0,4305.2,4250.0,3970.0,2974.4,2994.58,4019.0,4019.0,19498.0,19066.0,1920.38,1427.58,11567.54,11567.54,6501.04,6501.04,13187.0,13501.0,6189.94,4137.89,14423.0,13500.0,14500.0,14500.0,10628.0,10628.0,309626.41,306151.94,2792.0,2792.0,749.0,2355.0,574.0,574.0,474.0,474.0,2800.0,2800.0,100.0,100.0,290.0,200.0,7779.0,9295.0,317405.41,315446.94
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","TOTAL - SCIENCE,TECHNOLOGY & ENVIRONMENT",5973.5,5973.5,5198.69,5198.69,15372.0,14979.0,25983.91,18348.38,37523.0,37523.0,7932.65,7932.65,88318.35,88318.35,18202.0,19195.22,14649.0,14649.0,3682.2,3682.2,17400.16,14400.16,35535.0,35535.0,34040.0,34040.0,50467.34,50467.34,30538.76,30538.76,7073.0,6883.0,6020.0,5740.0,3555.4,3415.21,4969.0,4969.0,34958.45,31333.0,6001.93,5164.74,14619.32,14619.32,6829.39,6829.39,15862.0,16178.0,6787.72,4322.97,16571.0,14600.0,18698.5,18698.5,24444.0,24444.0,557206.27,537978.38,3254.0,3254.0,2022.0,3513.0,594.0,594.0,785.0,785.0,8450.0,8450.0,3900.0,3900.0,697.4,594.81,19702.4,21090.81,576908.67,559069.19
"IX","2011-12","GENERAL ECONOMIC SERVICES","1. Secretariat Economic Services",112699.5,112699.5,2479.0,2479.0,16232.43,8876.72,2045.0,583.35,4550.0,4550.0,2940.0,2940.0,960.59,960.59,210.0,210.0,300.0,300.0,66015.73,66015.73,10299.3,25045.84,100.0,100.0,9326.0,9326.0,25344.7,25344.7,830.0,830.0,87246.57,41515.73,4292.0,4292.0,5680.39,973.75,44196.24,16059.81,362.0,362.0,23804.6,23752.2,5902.75,5902.75,10276.76,10276.76,283.0,802.0,8849.16,913.14,143545.0,70970.0,2170.0,2170.0,244.98,244.98,591185.7,438496.55,451.0,451.0,1.0,1.0,5.0,5.0,1.0,1.0,130.0,130.0,7.0,7.0,1615.0,82.35,2210.0,677.35,593395.7,439173.9
"IX","2011-12","GENERAL ECONOMIC SERVICES","2. Tourism",1055.0,1055.0,1100.0,1100.0,3615.0,3332.26,3043.89,3043.89,4785.0,4785.0,6096.0,6096.0,26909.0,26909.0,2000.0,2000.0,1735.0,1735.0,13917.28,13917.28,2500.0,2500.0,24000.0,24000.0,15300.0,15300.0,7271.5,7271.5,48548.23,48548.23,300.0,1160.57,1600.0,1835.0,332.31,335.54,1300.0,1709.0,4000.0,3880.0,2239.0,541.43,2811.0,2811.0,9670.76,9670.76,1880.0,3067.0,277.7,237.99,6037.0,2607.0,11108.14,11108.14,4300.0,4300.0,207731.81,204856.59,4600.0,4600.0,461.0,490.0,1003.0,1003.0,1639.0,1639.0,1550.0,1550.0,440.0,440.0,9270.0,2448.9,18963.0,12170.9,226694.81,217027.49
"IX","2011-12","GENERAL ECONOMIC SERVICES","3. Census, Surveys & Statistics",495.5,495.5,350.2,350.2,1300.0,455.0,7700.0,1700.0,1862.0,1862.0,415.2,415.2,9757.83,9757.83,16.0,16.0,240.0,240.0,13978.23,13978.23,0.0,0.0,20.0,20.0,410.0,410.0,36916.9,36916.9,0.0,0.0,113.0,93.0,250.0,250.0,240.0,236.6,650.0,700.0,336.5,300.0,299.6,195.5,223.26,223.26,182.86,182.86,644.0,82.0,17.68,12.55,192.0,84.0,161.02,161.02,4200.0,4200.0,80971.78,73337.65,90.0,90.0,1.0,0.0,4.0,4.0,7.0,7.0,0.0,0.0,40.0,40.0,50.0,27.0,192.0,168.0,81163.78,73505.65
"IX","2011-12","GENERAL ECONOMIC SERVICES","4. Civil Supplies",8767.5,8767.5,417.25,417.25,383.0,383.0,31983.97,30733.97,50016.0,50016.0,204.0,204.0,23081.26,23081.26,0.0,0.0,6.0,6.0,0.0,0.0,73281.0,98690.0,0.0,0.0,8524.0,8524.0,650.0,650.0,0.0,0.0,0.0,0.0,150.0,150.0,358.0,346.44,217.0,217.0,334.4,334.4,2364.13,860.0,750.01,750.01,416.29,416.29,125000.0,137119.0,26.53,17.6,0.0,0.0,1067.31,1067.31,1061.24,1061.24,329058.89,363812.27,527.0,527.0,85.0,194.0,10.0,10.0,3.0,3.0,0.0,0.0,400.0,400.0,1742.16,1265.0,2767.16,2399.0,331826.05,366211.27
"IX","2011-12","GENERAL ECONOMIC SERVICES","5. Other General Economic Services :",25.0,25.0,176194.19,176194.19,11407.0,9498.0,52066.0,36016.15,86.0,86.0,677.0,677.0,93318.74,93318.74,23213.3,23213.3,4936.0,4936.0,6120.0,6120.0,0.0,0.0,82560.0,82560.0,215.0,215.0,20.0,20.0,24510.01,24510.01,14116.8,14066.8,20820.0,17676.0,5684.0,6400.68,270.0,336.0,47105.1,28099.1,0.0,0.0,15089.6,15089.6,0.0,0.0,5.0,0.0,12.65,13.53,112980.0,20000.0,0.0,0.0,1452.76,1452.76,692884.15,560523.86,0.0,0.0,1.0,0.0,41.0,41.0,4.0,4.0,0.0,0.0,3.0,3.0,5.0,8.65,54.0,56.65,692938.15,560580.51
"IX","2011-12","GENERAL ECONOMIC SERVICES","TOTAL - GENERAL ECONOMIC SERVICES",123042.5,123042.5,180540.64,180540.64,32937.43,22544.98,96838.86,72077.36,61299.0,61299.0,10332.2,10332.2,154027.42,154027.42,25439.3,25439.3,7217.0,7217.0,100031.24,100031.24,86080.3,126235.84,106680.0,106680.0,33775.0,33775.0,70203.1,70203.1,73888.24,73888.24,101776.37,56836.1,27112.0,24203.0,12294.7,8293.01,46633.24,19021.81,52138.0,32975.5,28707.33,25349.13,24776.62,24776.62,20546.67,20546.67,127812.0,141070.0,9183.72,1194.81,262754.0,93661.0,14506.47,14506.47,11258.98,11258.98,1901832.33,1641026.92,5668.0,5668.0,549.0,685.0,1063.0,1063.0,1654.0,1654.0,1680.0,1680.0,890.0,890.0,12682.16,3831.9,24186.16,15471.9,1926018.49,1656498.82
"X","2011-12","SOCIAL SERVICES","Education: 1. General Education",272694.19,272694.19,10865.43,10865.43,61722.12,62742.13,301475.0,325653.0,393051.0,393051.0,17170.0,17170.0,168912.62,168912.62,172802.0,174657.58,30701.0,30701.0,95939.56,95939.56,120000.0,120000.0,234279.0,234279.0,33868.0,33868.0,320243.27,320243.27,147351.31,147351.31,11362.22,8997.22,19836.0,20950.0,18761.0,21827.83,5285.0,6312.34,145451.0,132451.0,94133.5,111799.31,161848.33,161848.33,12667.3,12667.3,180096.0,230559.0,21141.2,18664.2,355756.0,348952.0,66124.67,66124.67,246160.1,246160.1,3719696.82,3795441.39,14048.0,14048.0,6937.0,5928.0,4934.0,4934.0,2030.4,2030.4,107900.0,107900.0,2200.0,2200.0,19303.18,9728.7,157352.58,146769.1,3877049.4,3942210.49
