"Name of Agency","Address","Phone","Fax","Email","Region","City","State","Contact Person","TYPE"
"M/S BALA TOURIST SERVICE","""""Bala House"" 88-A, M.G. Road,(Formerly K. H. Road), Nungambakkam""","""044-2822 4444, 044 - 4213 5555""","044-2822 3737","bzone@bala.co.in","South","CHENNAI","Tamilnadu","MR. B. PRADEEP","Tourist Transport Operator"
"M/S GANESH TRAVELS","""35/1, P.C.O. Road, Egmore""","""044-2819 0202, 044-2819 0303""","044-2819 0990","NA","South","CHENNAI","Tamilnadu","MR. L. KRISHNAN","Tourist Transport Operator"
"M/S PARVEEN TRAVELS (P) LTD.","""No. 148, Perambur Barracks Road,Purasawalkam""","""044-26444621, 044-26471134""","044-26444626","parveenpondy@yahoo.co.uk","South","CHENNAI","Tamilnadu","MR ALLAH BAKSH","Tourist Transport Operator"
"M/S ENSIGN TAXIS","""Ensign Enclave, M. G. Road""","""0484-2375 080, 0484-2375 395""","0484-2375 395","entravel@md3.vsnl.net.in","South","ERNAKULAM","kerala","MR. P.S.SUKUMARAN","Tourist Transport Operator"
"M/S NOORI TRAVELS","""#6-2-338, ""Noori Towers"", Hill Colony,,Khairatabad""","""040-2332 3232, 040-2323 2032""","040-2337 5928","ho@nooritravels.net","South","HYDERABAD","Andhra Pradesh","MR. NABEEL HUSAIN","Tourist Transport Operator"
"M/S BURLINGTON TOURS AND TRAVELS","""Shop No. 2, GCDA Complex, Opp. Kendriya Vidyalaya,Gandhi Nagar, Kadavanthra""","""0484-2203 255, 0484-2203 155""","0484-2203 155","tours@burlingtonholidays.com","South","KOCHI","kerala","MRS. PREMA JIBU TITUS","Tourist Transport Operator"
"M/S KUMAR TAXIS","""Palace Road""","""0484-2225 558, 0484-2221 213""","0484-2223 558","ajith45_ktb@satyam.net.in","South","KOCHI","kerala","MR. K.M.SANTOSH KUMAR","Tourist Transport Operator"
"M/S SUBURBAN TRAVELS","""First Floor, Suburban Complex, Mamanglam,""","""0484- 2334 333, 0484-2348 883""","0484-2343 333","suburbans@vsnl.net","South","KOCHI","kerala","MR. C.P. AJITHKUMAR","Tourist Transport Operator"
"M/S. ATS LOGISTICS","""ATS Building, Nambiapuram Road,,Palluruthy, Kochi""","""0484 - 2231 500""","0484 - 2231 670","atslogistics7@gmail.com","South","KOCHI","kerala","MR. ACHYUTH A JOY","Tourist Transport Operator"
"M/S ARAKKATHARA TRANSPORT SERVICES (P) LTD, (ATS)","""Palluruthy""","""0484 - 2231 750, 0484 - 2231 900""","0484 - 2231 670","NA","South","KOCHI","kerala","MR. A.K.SANHTOSH","Tourist Transport Operator"
"M/S INTERSIGHT TOURS & TRAVELS (P) LTD","""28/243, Benista Building, S.A. Road,,Panampilly Nagar""","""0484 - 231 3396, 0484 - 231 0871""","0484 - 231 9718","intersight@asianetindia.com","South","KOCHI","kerala","MR. ABRAHAM GEORGE","Tourist Transport Operator"
"M/S. PRINCY TRAVELS","""Near Ernakulam Hall, ,Ernakulam North""","""0484 - 2373 109, 0484 - 2383 085""","0484 - 4023 555","princy@sancharnet.in","South","KOCHI","kerala","","Tourist Transport Operator"
"M/S. ATS CARS","""29/1 (H), ATS Building, S.A. Road,,Vyttila, Cochin""","""0484 - 2304 150, 0484 - 2302 870""","0484 - 2304 107","cars@atscars.com","South","KOCHI","kerala","MRS. V.V.SREEDEVI","Tourist Transport Operator"
"M/S SHANTHI CABS INDIA","""No. 1, H.R. Church Building, RMS Road,""","""0452-2340 065, 0452-2347 765""","0452-234 3869","shanthicabsindia@hotmail.com","South","MADURAI","Tamilnadu","MR. C. BASKARAN","Tourist Transport Operator"
"M/S. MANGALORE TOURIST SERVICE","""11 - Milagris Mansion,Hampankatta""","""0824 - 2424 888, 0824 - 2428 889""","0824 - 426 4888","NA","South","MANGALORE","Karnataka","MR. MOHAMMED ESHAQUE","Tourist Transport Operator"
"M/S. R.R.TOURS & TRAVELS","""Inland Residency, Valencia, Mangalore,""","""0824 - 2437 259, 0824 - 4281 999""","0824 - 4257 258","rrtravels@hotmail.com","South","MANGALORE","Karnataka","MR. ROSHAN PINTO","Tourist Transport Operator"
"M/S SAFE WHEELS TOURS & TRAVELS","""""Prashanth Plaza"", 4th Main, 5th Cross,,Saraswathippuram (Head Office)""","""0821-4001 1100, 0821- 4001 1101""","0821-2234 4143","mysore@safewheelsindia.com","South","MYSORE","Karnataka","MR. B.S PRASHANTH","Tourist Transport Operator"
"M/S PARVEEN TRAVELS (P) LTD.","""No. 288, Marai Malai Adigal Salai,,Muthamizh Nagar""","""0413-203939, 0413-201919""","NA","NA","South","PONDICHERRY","Puducherry","MR ALLAH BAKSH","Tourist Transport Operator"
"M/S. ORIX AUTO INFRASTRUCTURE SERVICES LIMITED","""No. 10-3-164/A, St. John's Road,,S.D. Road, Secunderabad""","""040 - 4013 1291, 040 - 4013 1292""","NA","info@orixindia.com","South","SECUNDERABAD","Andhra Pradesh","MR. RANJEET MATHUR","Tourist Transport Operator"
"M/S. SOUTH GATE TOURS & TRAVELS","""Mukalel Square, VL - 43, Vikas Lane,,Kunnukuzhy, PO, Trivandrum""","""0471 - 2306 482, 0471 - 2309 072""","NA","southgatetravels@yahoo.com","South","THIRUVANANTHAPURAM","kerala","MR. Y.L. NEYAS","Tourist Transport Operator"
"M/S. THE TRAVEL COMPANY","""Leela Vilas, KGWS - 39, Golf Links Road,,Kowdiar""","""0471 - 2432 437""","0471 - 2436 850","thetravelcompany@vsnl.net","South","THIRUVANANTHAPURAM","kerala","MR. RAVI KUMAR","Tourist Transport Operator"
"M/S. COSMOS TOURS & TRAVELS","""AMRA - 23, Karali Road, Chackai, Pettah,P.O.""","""0471- 2503 111, 0471 - 2503 222""","0471 - 2503 555","info@cosmoskerala.com","South","THIRUVANANTHAPURAM","kerala","MS.JAYASREE CHANDRAN","Tourist Transport Operator"
"M/S. COMPANION HOLIDAYS","""No. 9/1447(8), F 1, Future House,Temple Road Sasthamangalam""","""0471 - 231 0548, 0471- 395 6775""","0471 - 231 3548","companionholidays@vsnl.net","South","THIRUVANANTHAPURAM","kerala","MR. A.M.DANIEL","Tourist Transport Operator"
"M/S THE GREAT INDIA CAR & COACH RENTALS PVT. LTD.","""1st Floor, New Corporation Buidling, Palayam,""","""0471 - 231 6334, 0471 - 231 6335""","NA","giccr@atetravel.com","South","THIRUVANANTHAPURAM","kerala","MR. E. M. NAJEEB","Tourist Transport Operator"
"M/S JAYASREE TRAVELS & TOURS COMPANY","""Thompil Buildings, Sasthamangalam,""","""0471-2722 447""","0471-2722 471","vikraman@jayasreetravels.com","South","THIRUVANANTHAPURAM","kerala","MR. G. SURESH KUMAR","Tourist Transport Operator"
"M/S SHRINATH TRAVEL AGENCY","""G / F - 1,2,3, Sahajanand Park, Shahibaug Road,Ahmedabad""","""079-2562 5351, 079-2562 5352""","079-2562 5599","info@shrinath.biz","West","AHMEDABAD","Gujarat","MR. NANDLAL R KABRA","Tourist Transport Operator"
"M/S. PLANET DREAMZ SERVICES (P) LTD.","""LG-005, R.B. Tower,plot No. 2&3 Chuna Bhatti,,Kolar Road, Below Dominos Pizza""","""0755-2430447, 0755-4094815""","0755-4094805","planet_dreamz@yahoo.co.in","West","Bhopal","Madhya Pradesh","Mr. Tarang Sharma","Tourist Transport Operator"
"M/S MERCURY CAR RENTAL LTD.","""The Oberoi, Nariman Point""","""022-22814457, 022-56326327""","022-22843387","amannagar@avis.co.in","West","MUMBAI","Maharastra","MR. DINSHAW S BHIWANDIWALA","Tourist Transport Operator"
"M/S ASHOKA TRAVELS","""Hindustan Bldg.#1, 16/A, Sleater Road,,Grant Road (West)""","""022-24493455, 022-24450555""","022-23878639","ashokatravels@vsnl.net","West","MUMBAI","Maharastra","MR. PRAKASH E. KANDALGAONKAR","Tourist Transport Operator"
"M/S FRED TRAVELS PVT. LTD.","""A /8, Poonam Apartments, Dr. Annie Besant Road,,Worli, Mumbai""","""022-24928812, 022-24918602""","022-24960512","info@fredtravels.com","West","MUMBAI","Maharastra","Mrs. Perviz Rusi Surti","Tourist Transport Operator"
"M/S. BENZY TRAVELS","""Room No. 106, 62, Jajjikar Street,,Near Crawford Market""","""022 - 2343 3322, 022 -3001 2237""","022 - 2346 4786","audit.benzy@sify.com","West","MUMBAI","Maharastra","MR. K. V. ABDUL NAZAR","Tourist Transport Operator"
"M/S. ANTAEUS RENT - A - CAR PVT. LTD.,","""401, Sanjay Appa Chambers, New Link Road,Chakala, Andheri (E)""","""022 - 2832 9567, 022 - 2832 9569""","022 - 2832 9575","info@antaeusindia.com","West","MUMBAI","Maharastra","MS. UMA BAHL","Tourist Transport Operator"
"M/S. GEETEE TRAVELS PVT. LTD.","""1, Satellite, Opp. Mistry Complex, Om Nagar,,Andheri (E)""","""022 - 2820 4600, 022 - 2802 4900""","022 - 2825 2496","geeteetravels@hotmail.com","West","MUMBAI","Maharastra","MR. MANMOHAN GOYAL","Tourist Transport Operator"
"M/S ORIX AUTO INFRASTRUCTURE SERVICES LTD.","""Plot No. 94, Marol Co - operative Industrial,Estate, Andheri-Kurla Road, Andheri (E), (HO)""","""022 - 6707 0100, 022 - 2852 8677""","022 - 2852 8549","info@orixindia.com","West","MUMBAI","Maharastra","MR. PANKAJ JAIN","Tourist Transport Operator"
"M/S RAMNIRANJAN KEDIA RENT A CAR PVT. LTD.","""19, Kaliandas Udyog Bhavan, Century Bazar,Lane, Prabhadevi""","""022 -4322 7777""","022- 4322 7733","res.mum@rnk.com","West","MUMBAI","Maharastra","MR VAIBHAV KEDIA","Tourist Transport Operator"
"M/S. SAGAR TOURS & TRAVELS","""Shop No.1, Ram Krishna Apartments,NearTelephone, Exchange, Nanda Patkar Road, Vile Pile (E)""","""022 - 2610 8426, 022 - 3250 0053""","022 - 2610 1452","s.sagartravels@yahoo.co.in","West","MUMBAI","Maharastra","MR. RAJ CHOPRA","Tourist Transport Operator"
"M/S. PLATINUM RENT - A - CAR INDIA PVT. LTD.","""B/201, Linkway Appartment, New Link Road,,Charatsingh Colony, Andheri (East)""","""022 - 2825 9888, 022 - 2824 6568""","022 - 2838 4391","sales@platinumgroup.in","West","MUMBAI","Maharastra","MR. PRASAD N SHINDE","Tourist Transport Operator"
"M/S. ASIAN TRAVEL COMPANY","""B- 106, Twin Arcade, Military Road,,Off Marol Maroshi, Andheri (East)""","""022 - 2851 6598, 022 - 6693 8040""","022 - 6693 8041","attbom@bom4.vsnl.net.in","West","MUMBAI","Maharastra","MR. SADIQ SYED","Tourist Transport Operator"
"M/S. UTSAV TOURS & TRAVELS","""Flat No. 402, Ruby Tower CHS,,Sahakar Road, Jogeshwari West""","""022 - 4005 4201, 022 - 4005 5402""","022 - 4005 4201","nabi.utsavgmail.com","West","MUMBAI","Maharastra","MR. NABISAHEB NAIKODI","Tourist Transport Operator"
"M/S SHREYA TRAVELS","""Indo Unique Plaza, Plot No. 1. Ghatate Layout,,Civil Lines, Nagpur""","""0712- 2562 819, 0712-2562 820""","0712-2562 819","stravels_ngp@sancharnet.in","West","NAGPUR","Maharastra","SMT MANISHA VIJAY GOLCHHA","Tourist Transport Operator"
"M/S. PAULO HOLIDAY MAKERS","""G - 1, Cardozo Building,,Near Kadamba Bus Stand""","""0832 - 2438 531, 0832 - 2438 532""","0832 - 6641 883","phm@sancharnet.in","West","PANAJI","Goa","MR. MARIO PEREIRA","Tourist Transport Operator"
"M/S. GIRIKAND HOLIDAYS PVT. LTD.","""759/90 B, Bhandarkar Road, Deccan Gymkhana,Pune""","""020 - 2565 9970, 020 - 2565 9971""","020 - 2565 3577","holiday@girikand.com","West","PUNE","Maharastra","MR. AKHILESH JOSHI","Tourist Transport Operator"
"M/S. MALATI TRAVELS","""9, Sandhya Society, Sahakar Nagar No. 2,,Pune""","""020 - 6524 3143""","020 - 2422 0302","mahesh_adak04@yahoo.com","West","PUNE","Maharastra","MR. ADAK MAHESH MADHUKAR","Tourist Transport Operator"
"M/S MAKSON AUTO HIRERS","""A2/22, Elite Gardens, Off. D.P.Road,Aundh""","""020-66488888, 020-25885748""","020-66488866","info@makson.co.in","West","PUNE","Maharastra","MR.LAKSHMIKANTMAKHARIA","Tourist Transport Operator"
"M/S.EASTERN TREASURE INDIA TOURS PVT. LTD.","""Block-3, Ist Floor, Aditya Tradings,Sriram Nagar""","""0674-2341578, 0674-6533812""","0674-2341655","tours@treasureindiatours.com","East","BHUBANESHWAR","Orisa","SHRI SANGHAMITRA JENA","Inbound Tour Operator"
"M/S SWOSTI TRAVELS & EXPORTS PVT. LTD","""103,Janpath""","""0674-2535 773, 0674-2536 228""","0674-2535 781","gmst@swosti.com","East","BHUBANESHWAR","Orisa","MR. J.K.MOHANTY","Inbound Tour Operator"
"M/S. SAND PEBBLES TOUR ' N ' TRAVELS","""M - 5/23, Acharya Vihar""","""0674 - 653 2550, 0674 - 254 1452""","0674 - 254 5868","sandpebblestours@hotmail.com","East","BHUBANESHWAR","Orisa","MR.ALOK KUMAR MAHARANA","Inbound Tour Operator"
"M/S TRAVEL LINK PRIVATE LIMITED","""1st Floor, Metor House, Plot No. 1/410, PO/PS,Sahid Nagar""","""0674-2546 591, 0674-2546 592""","0674- 2546 595","travelink@sancharnet.in","East","BHUBANESHWAR","Orisa","MR.BENJAMINE SIMON","Inbound Tour Operator"
"M/S DOVE TOURS PVT LTD.","""C-23 Market Building, Saheed Nagar""","""0674-2547 175, 0674-2543 869""","0674-2543 869","info@dovetours.com","East","BHUBANESHWAR","Orisa","MR. GAGAN SARANGI","Inbound Tour Operator"
"M/S TOSHALI TOURS AND TRAVELS","""(A Division of T.K. International Limited), C-40,Market Building, Sahid Nagar""","""0124-2565315, 0124-2563105""","NA","toshali@nde.vsnl.net.in","East","BHUBANESHWAR","Orisa","MR. T. BANAMBAR PATRA","Inbound Tour Operator"
"M/S. ALTERNATIVE TOURS PVT. LTD.","""Room No. 5, BDA Market Complex,Palasapalli, Bhubaneswar""","""0674 - 2590 830, 0674 - 2593 463""","0674 - 2590 819","travclub@cal2.vsnl.net.in","East","BHUBANESHWAR","Orisa","MR. SRIKANT MISHRA","Inbound Tour Operator"
"M/S CLUBSIDE TOURS & TRAVELS PVT. LTD","""J.P Sharma Road""","""0354- 2254 646, 0354- 2254 647""","0354- 2254 123","tours@clubside.in","East","DARJEELING","West Bengal","MR.S . PERIWAL","Inbound Tour Operator"
"M/S SHASHI TRAVELS & TOURS PVT.LTD","""Hotel Shashi International, Bodhgaya, Dist. Gaya,(Head Office)""","""0631- 2200 459, 0631- 2200 459""","0631- 2200 483","sashi_gil@sancharnet.in","East","GAYA","Bihar","MR. R. VIJAY SINGH","Inbound Tour Operator"
"M/S. ARYAVRIT TRAVELS PVT. LTD.","""402, Paradise, C-61-A, Sarojini Marg, ,C-Scheme""","""0141-4030080, 0141-4030081""","0141-4030082","info@aryavrittravels.net","East","JAIPUR","Rajasthan","MR. KAILASH CHAND MISHRA","Inbound Tour Operator"
"M/S ZOOM TOURS & TRAVELS","""IA Market, 1st Floor, Sector-111,,Suit No.68,Salt Lake City""","""033-40602396, 033-30101518""","033-23355447","info@zoomtoursandtravels.com","East","Kolkata","West Bengal","MS. RITUPARNA DAS","Inbound Tour Operator"
"M/S. IMPRESSION TOURISM SERVICES (INDIA) PVT. LTD.","""Flat No. 34, 3rd Floor, 22,,Ashutosh Chowdhury Avenue""","""033 - 4001 5190""","033 - 4001 5191","mail@itsindia.in","East","KOLKATA","West Bengal","MR. DEBJIT DUTTA","Inbound Tour Operator"
"M/S TRAVELS & RENTALS PVT.LTD","""Parekh House,161 Lenin Sarani""","""033-2215 0052, 033-2215 0065""","033-2215 4334","ccutnr@parekhnet.com","East","KOLKATA","West Bengal","MR.A.DASS","Inbound Tour Operator"
"M/S. JETCHOICE TOURS & TRAVELS PVT. LTD.","""Shantiniketan Building, 7th Floor, Suite No. 15,8 Camac Street, Koltata""","""033 - 2282 1104, 033 - 2282 2202""","033 - 2290 3264","ukbjetchoice.in","East","KOLKATA","West Bengal","MR. U.K. BANERJEE","Inbound Tour Operator"
"M/S. HANS HOLIDAYS","""Prem Bhawan, Block Road, (In front of Shivani Cinema Hall), Rajgir,Nalanda""","""06112-255 524""","06112-255 524","hansholidays@gmail.com","East","NALANDA","Bihar","MR. KAULESH KUMAR","Inbound Tour Operator"
"M/S. ANDAMAN HOLIDAYS","""E - 237, Pongy Chaung, Behind Anand Offset Press,Port Blair""","""03192 - 239 595, 03192 - 234 924""","03192 - 234 924","contact@andamanholidays.com","East","PORT BLAIR","Andman & Nicobar","MR. R. M. RATNA","Inbound Tour Operator"
"M/S. HERITAGE TOURS (MAYFAIR BEACH RESORT)","""C.T. Road, Puri""","""06752 - 223 658, 06752 - 222 747""","06752 - 224 595","barefootorissa@yahoo.co.in","East","PURI","Orisa","MR. YUGABRATA KAR","Inbound Tour Operator"
"M/S. HELP TOURISM","""143 - Hill Cart Road (1st Floor), P.O. Box 67""","""0353 - 2535 893, 0353 - 2433 683""","0353 - 2532 313","helptourism@satyam.net.in","East","SILIGURI","West Bengal","MR. SANJIB SAHA","Inbound Tour Operator"
"M/S HEAT TRAVELS & TOURS (I) PVT. LTD","""Shiv Mahal, 34 Bidyasagar Road,Khalpara""","""0353-250 4631, 0353-250 4632""","0353-250 3630","heat@sancharnet.in","East","SILIGURI","West Bengal","MR.DEEPAK GUPTA","Inbound Tour Operator"
"M/s. Incredible Voyages Private Limited.","""FF-307 H, Sushant Shopping Arcade,Sushant lok - I""","""0124- 4833 700""","0124- 4833 799","munish@ivplindia.in","North","Gurgaon","Haryana","Mr. MUNISH ABROL","Inbound Tour Operator"
"M/s. ECOILYN TRAVELS","""168-169, officer's campus main,vishnu marg,,sirsi road, khatipura""","""0141- 2352 230""","0141- 2352 230","travel@ecoilyn.com","North","jaipur","Rajasthan","MR. SHAILENDRA SINGH","Inbound Tour Operator"
"M/S. TRAIL BLAZER TOURS INDIA PVT. LTD.","""4, Crow Plaza, Opposite Hotel, I.T.C. Mughal,,Fatehabad Road, Agra (Branch Office)""","""2234 237""","NA","india@tbi.co.in","North","AGRA","Uttar Pradesh","MR. V. K. CHHIBBER","Inbound Tour Operator"
"M/S. PACIFIC CLASSIC TOURS (INDIA) TRAVEL AGENT & TOUR OPERATORS","""49, Bansal Nagar, Fatehabad Road""","""0562 - 4031 350""","0562 - 4005 987","info@discoverydreams.com","North","AGRA","Uttar Pradesh","MR. SHAKUL GARG","Inbound Tour Operator"
"M/S. JEET TRAVEL","""3 - Deep Complex, 1st Floor, Court Road,,Opp. Doaba Automobile, Amritsar""","""0183 - 2223 142, 0183 - 5002 688""","0183 - 5002 788","jeettravel@hotmail.com","North","AMRITSAR","Punjab","MR. P. S. DADWAL","Inbound Tour Operator"
"M/S. TOUR PASSION","""C - 48, Arya Nagar, Apartments, Patparganj,I.P. Extension""","""011 - 4373 9512""","NA","tourpassion@tourpassion.com","North","DELHI","Delhi","MR. NAVEEN MANCHANDA","Inbound Tour Operator"
"M/S. HANDSOME TOURS & TRAVELS PVT. LTD.","""101 / 23, Parmesh Business Centre - II,,Karkardooma Community Centre""","""011 - 4308 2916""","NA","psdelhi@hotmail.com","North","DELHI","Delhi","MR. PADAM SHRESTH","Inbound Tour Operator"
"M/S. JOURNEY ASIA","""201, Iind Floor, Plot No. 32 - C, B.R. Complex,,Opposite UNA Enclave, Patparganj, Mayur Vihar Ph.I""","""011 - 2275 7324, 011 - 4301 2668""","011 - 2275 7347","journey@bol.net.in","North","DELHI","Delhi","MR. PANKAJ KUMAR MISHRA","Inbound Tour Operator"
"M/S A.T.SEASONS & VACATIONS TRAVEL PVT. LTD.","""C-24/A, IInd Floor, Acharya Niketan ,(Main Road), Mayur Vihar, Phase-I""","""011 - 2279 4796, 011 - 6527 4757""","011 - 2279 4796","visitsindia@vsnl.net","North","DELHI","Delhi","MR. AMARESH KUMAR TIWARI","Inbound Tour Operator"
"M/S. DECENT INDO TOURS PVT. LTD.","""301, 302, 303, Agarwal Modern Bazar,, Plot No. C- 33, Keshav Puram (Lawrence Road)""","""011 - 2715 1598, 011 - 2718 2805""","011 - 2715 7652","dindotours@vsnl.net","North","DELHI","Delhi","MR. SOHAN SINGH","Inbound Tour Operator"
"M/S DIVINE VOYAGES PVT. LTD","""102-103, Ajnara Complex,,12, L.S.C, Savita Vihar,""","""011-2215 5395, 011-2214 5395""","011-2214 5395","divinevoyages@vsnl.net","North","DELHI","Delhi","MR. PRABHU KUMAR","Inbound Tour Operator"
"M/S MOUNTAIN ADVENTURES PVT LTD.","""26/27 LGF, Charmwood Plaza, Near Suraj Kund,,Eros Garden, Charmwood Village""","""0129-4117492, 0129-4117493""","0129-4117491","mata@del2.vsnl.net.in","North","Faridabad","Delhi","MR .NAZIR RAH","Inbound Tour Operator"
"M/S FAR HORIZON TOURS PVT.LTD","""66, LGF, Charmwood Plaza, Eros Garden,Near Suraj Kund, Faridabad""","""0129 - 4098 000""","0129 - 4098 098","info@farhorizonindia.com","North","FARIDABAD","Haryana","MS. ANJALI BABBAR BASU","Inbound Tour Operator"
"M/S CONCORD TRAVELS &TOURS","""FF - 20, Ansal Plaza, Vaishali""","""0120 - 4171 600""","0120 - 4171 610","concords@vsnl.com","North","GHAZIABAD","Uttar Pradesh","MR.HARISH MATHUR","Inbound Tour Operator"
"M/S AMAR TOURS & TRAVELS","""SCO - 83, Sector - 22, Palam Vihar Road,Gurgaon""","""0124 - 4016 901, 0124 - 2461 962""","0124 - 4016 905","amartours@gmail.com","North","GURGAON","Haryana","RADHE KRISHNA GUPTA","Inbound Tour Operator"
"M/S INDIAN TRAVEL PROMOTION COMPANY PVT. LTD","""Global Center, 327 Udyog Vihar,, Phase-II""","""0124- 4785 900, 0124- 4785 901""","0124- 4785 950","info@indiantravelpromotion.com","North","GURGAON","Haryana","MR. P. K. MARWAH","Inbound Tour Operator"
"M/S. THOMAS COOK(india) LTD.(BRANCH) ","""Udyag Vihar, Plot No. 520,Gurgaon""","""0124- 6120 100""","0124- 6120 166","holidays@thomascook.co.in","North","Gurgaon","Haryana","MR. MADHAVAN MENON","Inbound Tour Operator"
"M/S FIRST TOURS INDIA PVT.LTD.","""SF - 07 JMD Regent Plaza, M.G. Road,Gurgoan""","""0124-406 7722, 0124-406 7733""","0124-406 7734","info@firstours.com","North","GURGAON","Haryana","MR SANJAY ARORA","Inbound Tour Operator"
"M/S INDO ASIA LEISURE SERVICES LTD.","""Indo Asia House, 56, Institutional Area,,Sector 44,Gurgaon (Head Office)""","""0124 - 4534 500, 0124 - 4534 600""","0124 - 4534 585","indoasia@vsnl.com","North","GURGAON","Haryana","MR. GAGENDRA SINGH PANWAR","Inbound Tour Operator"
"M/S. LEISURE TOURS(A DIV. OF MY LEISURE BREAKS PVT. LTD.)","""A 26/12A, Ist & Iind Floor, DLF City Phase - I""","""0124 - 4105 790, 0124 - 4105 795""","0124 - 4105 799","contact@leisuretoursindia.com","North","GURGAON","Haryana","MR. NAVEEN KUNDU","Inbound Tour Operator"
"M/S. BANYAN TOURS AND TRAVELS PVT. LTD.","""903 - 904, Vatika City Point,Sector - 25, MG Road, Gurgaon""","""0124 - 4563 800""","0124 - 4563 801","delhi@banyantours.com","North","GURGAON","Haryana","MS. RACHNA AHLUWALIA","Inbound Tour Operator"
"M/S CHERIE VOYAGES","""T-18/1 & 2 D.L.F Qutab Enclave,Phase III""","""0124-235 0896, 0124-235 0900""","0124-235 0898","cherie@vsnl.com","North","GURGAON","Haryana","MR. TAHIR KHAN","Inbound Tour Operator"
"M/S. LUXURY INDIA HOLIDAYS PVT. LTD.","""98 - P, (1st & 2nd Floor), Sector - 30""","""0124 - 411 4553, 0124- 4114 552""","0124 - 238 3953","sales@luxuryindiaholidays.com","North","GURGAON","Haryana","MR. VISHWAS MAKHIJA","Inbound Tour Operator"
"M/S. JACKSON TOUR & TRAVELS PRIVATE LIMITED","""186 / 16, Shivaji Nagar, Gurgaon""","""0124 - 2322 223""","NA","jacksontourtravels@yahoo.in","North","GURGAON","Haryana","MR. M.P.SINGLA","Inbound Tour Operator"
"M/S KUONI TRAVEL (INDIA) PVT.LTD","""Tower - B, Delta Square, M. G. Road,,Sector - 25, Gurgaon""","""0124 - 456 3000""","0124 - 456 3100","info@in.kuoni.com","North","GURGAON","Haryana","MR.HIMMAT ANAND","Inbound Tour Operator"
"M/S. SHAKTI TOURS PVT. LTD.","""903 - 904, Vatika City Point, Sector - 25,,MG Road, Gurgaon""","""0124-4563 800""","NA","info@shaktihimalaya.com","North","GURGAON","Haryana","MR.JAMSHYD R. SETHNA","Inbound Tour Operator"
"M/S. DISTANT FRONTIERS TOURS PVT. LTD.","""Tower B, Delta Square, M. G. Road, Sector - 25""","""0124 - 456 3000""","0124 - 456 3100","info@distantfrontiers.com","North","GURGAON","Haryana","MR. ROHIT ANAND","Inbound Tour Operator"
"M/S DISCOVERY JOURNEYS INDIA PVT. LTD","""Chapri House, 88, Sector 23,,HUDA (Opp. Devilal Park)""","""0124 - 4073 072, 0124 - 4076 965""","0124 - 2368 604","discoveryjourneys@vsnl.net","North","GURGAON","Haryana","MR. ALTAF CHAPRI","Inbound Tour Operator"
"M/S NAMASTE TOURS PVT. LTD.","""O - 130, DLF Shopping Mall, Arjun Marg,Phase 1""","""0124-4040 636, 0124-4040 637""","0124-4040 635","info@namastetoursindia.com","North","GURGAON","Haryana","MR. P. BALASUBRAMANYAN","Inbound Tour Operator"
"M/S LEISURE & PLEASURE INTERNATIONAL PVT. LTD.","""F- 111, South City Arcade, South City - I""","""0124 - 4089 838""","0124 - 2580 909","1pitours@airtelmail.in","North","GURGAON","Haryana","MR. VISHWAMITRA SINGH","Inbound Tour Operator"
"M/S. YATRA ONLINE PVT. LTD.","""B - 21, Infocity, Sector - 34,,Near Hero Honda Chowk""","""0987 - 1800 800""","NA","dhruv.shringi@yatra.com","North","GURGAON","Haryana","MR. DHRUV SHRINGI","Inbound Tour Operator"
"M/S. HOLIDAYS TO TREASURE INDIA TOURS PRIVATE LIMITED","""C - 811, Ground Floor, Sushant Lok - I""","""0124 -4636 800""","0124 - 4636 880","sales@holidays2treasureindia.c","North","GURGAON","Haryana","MR. JASWIDNER SINGH","Inbound Tour Operator"
"M/S. CASANOVA INDIA TOURS (P) LTD.","""SCO 83, Sector - 22, Palam Vihar Road,Gurgaon""","""0124 - 4016 901, 0124 - 2461 962""","0124 - 4016 905","casanovaindia@gmail.com","North","GURGAON","Haryana","MR. RADHEY KISHAN GUPTA","Inbound Tour Operator"
"M/S. CELESTIAL TRAVEL SERVICE PVT. LTD.","""E - 308, Sushant Shopping Arcade, Sushant Lok - I,Gurgaon""","""0124 - 4233 755, 0124 - 4233 769""","0124 - 4233 770","celestialindia@gmail.com","North","GURGAON","Haryana","MR. KUHAK KAR","Inbound Tour Operator"
"M/S. ROUTES TRAVEL LTD.","""507-509, Global Foyer,Golf Course Road, Sector 43,""","""0124-4827700""","0124-4827788","atbggn@uniglobeatb.com","North","GURGAON","Haryana","MR. SUNIL NARAIN","Inbound Tour Operator"
"M/S. TNS TRAVEL PVT. LTD.","""E - 14, LG, Sushant Shopping Arcade,,Sushant Lok - I, Gurgaon""","""0124 - 4044 472, 0124 - 4044 473""","0124-4033 903","info@travelnetworkservices.net","North","GURGAON","Haryana","MR. RAJNEESH SINGH","Inbound Tour Operator"
"M/S TANGENT INC","""1368/31, laxman vihar near parkash puri chowk , ,dhanwapur road (first floor)""","""0124-4772 320, 9910399726""","0124-4772 320","info@tangentinc.in","North","Gurgoan","Haryana","MR. NEERAJ DAHIYA","Inbound Tour Operator"
