"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Assam","Road & Bridges","Construction of RCC Bridge No. 2/2 - Haripur Sansarghat Road in Nalbari District","NLCPR","20/02/2004","226.37","182.99","182.99","56.62","12/09/2006","30/06/2005","04/06/2009"
"Assam","Road & Bridges","Construction of RCC Br. No. 1/1 over regular Channel Gadadhar on Silerpar - Borshijhora Road in dhubri District","NLCPR","28/03/2008","450.73","405.66","405.66","81.13","12/07/2010","31/03/2010","31/03/2011"
"Assam","Road & Bridges","Bijni-Panbari Road(BTC Package)","NLCPR","31/10/2005","1558.58","1558.58","1339.80","155.86","31/03/2009","31/12/2007",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 9/2 on Borbhogia Mikirbhata Road in Morigaon District with approaches","NLCPR","28/10/2005","238.96","212.93","212.93","104.09","17/02/2009","28/02/2007","31/12/2011"
"Assam","Road & Bridges","Construction of road from Hidipi to Lahorijan - goutom Basti road in Karbi anglong","NLCPR","10/11/2010","485.41","170.76","0.00","170.76","10/11/2010","30/04/2012",""
"Assam","Road & Bridges","Road from  Jarighat to Lakhichhera.","NLCPR","28/03/2000","92.00","92.00","92.00","92.00","28/03/2000","31/08/2002","31/08/2002"
"Assam","Road & Bridges","Construction of RCC Br. No. 1/1 over River Kalang on Ghahi - Borjhora Road under Nagaon Rural Road Division (Nagaon District)","NLCPR","27/06/2011","281.12","200.44","100.22","100.22","07/01/2013","31/07/2013",""
"Assam","Road & Bridges","Improvement of Udalguri Bhakatpara road via Bhairaguri, Udalguri(BTC Package)","NLCPR","07/02/2005","444.00","443.99","433.47","22.20","31/03/2009","31/03/2007","20/02/2007"
"Assam","Road & Bridges","Jagun-Kharsang Road(11 KM)","NLCPR","24/12/2003","303.94","256.61","256.61","106.61","11/09/2006","31/03/2005","30/04/2007"
"Assam","Road & Bridges","Metalling and Black Topping of Swapanpur to Ramchandi Road of Hailakandi District.","NLCPR","27/03/2008","379.75","273.12","119.62","153.50","17/03/2010","31/03/2009",""
"Assam","Road & Bridges","Met. And Blacktopping raod from Lalmati to Manglajhora in Kokrajhar District.(BTC Package -2)","NLCPR","20/03/2012","600.00","261.83","0.00","261.83","20/03/2012","20/03/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 4/1, 6/1 and 14/1 on North Lakhimpur Kamalabari Road","NLCPR","28/10/2005","455.27","405.69","308.59","168.09","07/01/2009","28/02/2007","27/01/2011"
"Assam","Road & Bridges","Construction of RCC Bridge over River Aie","NLCPR","10/11/2010","7883.65","7025.03","5239.05","1405.02","26/09/2012","30/11/2013",""
"Assam","Road & Bridges","Improvement of Dhamdhama Tupalia Subankhata (DTS) Road (Metalling and black-topping of remaining stretches including improvement of existing metalled surface(BTC Package)","NLCPR","31/12/2004","1372.00","1372.00","1331.57","107.75","31/03/2009","31/03/2007","05/09/2008"
"Assam","Road & Bridges","RCC Bridge 4/1 on Hatigaon -Betapara","NLCPR","07/01/2004","153.84","133.97","133.97","33.97","30/06/2006","30/06/2005","13/05/2010"
"Assam","Road & Bridges","Construction of Maijan Thakurbari road to Malukbari road in Dibrugarh District","NLCPR","21/05/2012","811.00","286.23","0.00","286.23","23/05/2012","31/05/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 6/1 on Chariali Pavoi Road in Sonitpur District with approaches, protection work and sub-way","NLCPR","25/10/2005","88.53","78.90","78.90","29.58","16/06/2009","28/02/2007","30/03/2010"
"Assam","Road & Bridges","Construction of RCC Bridge No. 12/1 on Goroimari -Dewaguri Laharighat Road with approaches in assam","NLCPR","30/09/2009","317.34","113.11","0.00","113.11","30/09/2009","31/03/2011",""
"Assam","Road & Bridges","Improvement of Dalgaon Kopti Road (Orang - Dalgaon Road)","NLCPR","26/10/2007","235.71","106.26","106.26","106.26","28/11/2007","31/10/2009",""
"Assam","Road & Bridges","Improvement of Chintagaon Botiamari Road in Udalguri District","NLCPR","15/09/2011","898.26","321.72","0.00","321.72","15/09/2011","30/06/2013",""
"Assam","Road & Bridges","Improvement of Road Network leading towards Dibru- Chaikhowa National Park under Dibrugarh Rural Road division","NLCPR","22/03/2010","747.42","537.58","258.92","268.79","12/09/2012","30/04/2013",""
"Assam","Road & Bridges","Construction of Lay Byes and Bus Bays in Guwahati City for National Games 2005","NLCPR","20/01/2004","278.00","0.00","0.00","0.00","16/01/2013","31/07/2005",""
"Assam","Road & Bridges","Metalling & Black topping of Assalu to Diduki Road including WBM (Length 18km) under Mahur Road Division","NLCPR","28/06/2012","639.57","230.20","0.00","230.20","29/06/2012","30/06/2014",""
"Assam","Road & Bridges","Improvement of Tihu Doomni Road leading to Indo-Bhutan foot hills from 7th to 25 km in Baska district(BTC Package)","NLCPR","27/12/2005","995.00","995.00","965.99","99.50","31/03/2009","27/12/2008","05/03/2009"
"Assam","Road & Bridges","Construction of RCC Bridge No. 24/1 on Morigaon Moirabari Road in Morigaon District","NLCPR","25/01/2011","315.54","111.92","0.00","111.92","28/01/2011","31/07/2012",""
"Assam","Road & Bridges","Construction of RCC Bridge No.2/2 and 4/2 including approaches on Gurnagar Tikrikilla Road in Goalpara District","NLCPR","16/05/2006","355.19","252.28","159.28","141.00","15/12/2011","30/11/2007",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 156/2, 159/1, 163/2, 165/3, 172/2, 174/2, 177/1 and 182/2 on Dhodar Ali Road in Sivasagar District","NLCPR","30/09/2004","352.51","321.25","321.25","198.74","11/08/2006","31/12/2005","18/02/2008"
"Assam","Road & Bridges","Construction of RCC bridge no. 10/1 & 18/1 on Bagals Road in Nalbari District with approaches","NLCPR","30/09/2008","308.11","274.55","205.92","55.00","23/08/2012","31/01/2010",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 3/1 over River Pagladia on U.C Baruah Road in Nalbari District including Approaches and Protection Work","NLCPR","21/08/2012","730.15","262.80","0.00","262.80","21/08/2012","31/07/2015",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/1, 3/1, 3/2 and 4/1 on Bhairabpur to Kulibazar Road in Dhemaji District (Assam) with approaches","NLCPR","27/12/2005","466.44","415.63","258.93","268.70","13/01/2009","31/05/2007",""
"Assam","Road & Bridges","Const of RCC Br. No. ½ Over river Aie at Chillapara Kahibari villages on the road from Kokoijana 31-National High way to Nagaon.Manikpur 31 National Highway via Kirtanpara, Numbarpara villages under Bongaigaon rural road Divn.","NLCPR","29/11/2010","4001.26","1425.60","0.00","1425.60","29/11/2010","30/11/2013",""
"Assam","Road & Bridges","Construction of Br. no 2/1&4/1 on Raha Barapujia road over river Botamari and Hatibandha  with approaches in Nagoan District","NLCPR","22/02/2011","369.00","130.69","0.00","130.69","23/02/2011","31/03/2013",""
"Assam","Road & Bridges","Barpeta Basbari Road, Barpeta","NLCPR","31/10/2001","90.00","87.00","10.58","63.00","18/02/2003","31/03/2004",""
"Assam","Road & Bridges","Construction / improvement of Batabari Kopati road","NLCPR","26/10/2007","213.72","151.90","90.54","56.50","10/07/2012","31/10/2009",""
"Assam","Road & Bridges","Construction of RCC bridge No.1/2 on Manja to Hidim Teron Road in Karbi Anglong District","NLCPR","28/07/2004","178.12","162.38","82.04","100.38","16/07/2007","31/12/2005",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/1 over Targhat channel on NH-31 (Targhat to Asharikandi Ghegeralga Road)","NLCPR","22/08/2012","324.90","116.96","0.00","116.96","23/08/2012","31/07/2014",""
"Assam","Road & Bridges","Construction of railway over Br. at Dhing gate on Nagaon Bhurgaon via Dhing at Nagaon under NLCPR","NLCPR","22/08/2012","2105.46","757.95","0.00","757.95","23/08/2012","31/01/2014",""
"Assam","Road & Bridges","Construction of Additional Two Lane Rail-Over-Bridge (ROB) on A.T. Road at Maligaon, Guwahati (Assam)","NLCPR","27/12/2005","1355.92","1202.29","1202.29","781.49","20/12/2006","30/11/2007","17/10/2007"
"Assam","Road & Bridges","Construction of RCC Bridge No. 3/1 over Puthimari river at Dolonghat (Dhulabari))(BTC Package-2)","NLCPR","14/12/2010","800.00","400.00","70.00","400.00","20/12/2010","14/12/2013",""
"Assam","Road & Bridges","Constn. of Br.No. 28/1 on Dehangi Dayangmukh Road over thaijuwari Nala & Langlodisa Nala (PWD Roads Haflong Division)(NC Hills)","NLCPR","30/03/2009","355.00","111.76","0.00","111.76","30/03/2009","30/09/2010",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/1 and 4/1 with approaches on Nilbagan-Hojai Road in Nagaon  District (Assam)","NLCPR","02/06/2006","191.67","170.79","170.79","110.41","28/08/2008","30/11/2007","30/07/2009"
"Assam","Road & Bridges","Rowta- Udalguri Road, Darrang.","NLCPR","31/10/2001","832.00","832.00","832.00","444.12","05/03/2004","31/03/2004","31/03/2004"
"Assam","Road & Bridges","Improvement of Roads in Sivasagar Town","NLCPR","20/12/2007","242.46","216.05","216.05","108.00","19/03/2010","31/12/2009","31/12/2009"
"Assam","Road & Bridges","Construction of Road with MTBT from UT Road at Dimakuchi Donbosco School to Badlapara via Kalikhola Road, Udalguri in Assam","NLCPR","14/12/2011","620.91","223.17","0.00","223.17","15/12/2011","30/06/2014",""
"Assam","Road & Bridges","Construction of RCC bridge No.13/1, 14/1, 15/1, 20/3 and 22/1 on Silchar Kumbhirgram Road in Cachar District","NLCPR","29/07/2004","567.87","517.52","517.52","316.63","20/12/2006","31/12/2005","15/11/2009"
"Assam","Road & Bridges","Construction of RCC bridge No.3/1, 3/2,6/3,6/4, 6/6,10/5,12/1, 13/1, 21/2  and 23/2 on Border Roads (Gar Ali) in Jorhat District","NLCPR","29/07/2004","397.56","362.84","362.84","222.84","30/06/2006","31/12/2005","30/11/2007"
"Assam","Road & Bridges","construction of Road side drainage system including improvement of town roads in Nagaon Urban Area","NLCPR","25/09/2012","1924.50","0.00","0.00","0.00","16/01/2013","27/09/2012",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 4/1, 10/1, 11/1, 11/2, 12/1 and 13/1 on Dekapam to Somkong via Missamara Road in Dhemaji District of Assam with approaches","NLCPR","27/12/2005","688.10","0.00","0.00","-216.75","06/11/2008","31/05/2007",""
"Assam","Road & Bridges","Improvement of Road Network at Sonari Town under Charaideo Rural Road Division","NLCPR","13/12/2010","723.74","260.55","216.31","260.55","15/12/2010","29/06/2012",""
"Assam","Road & Bridges","Improvement of Badlapara to Dharamjuli Road under Udalguri Rural Road division","NLCPR","31/03/2009","403.35","355.90","355.90","70.70","23/12/2010","30/09/2010","20/09/2010"
"Assam","Road & Bridges","Construction of RCC Bridge No.38/1, 43/1,43/3 and 44/2 including approaches and subway on Silchar - Hailakandi Road in Hailakandi District","NLCPR","16/05/2006","353.13","250.77","201.21","139.53","07/06/2010","30/11/2007",""
"Assam","Road & Bridges","Udalguri- Bhairabkunda Road, Darrang.","NLCPR","31/10/2001","586.00","586.00","586.00","-28.00","31/12/2004","31/03/2004","20/01/2004"
"Assam","Road & Bridges","Construction of RCC bridge No.40/1 on Bagals Road in Kamrup District","NLCPR","28/07/2004","128.88","117.32","117.32","73.32","29/06/2006","30/12/2005","31/10/2006"
"Assam","Road & Bridges","Construction of RCC Bridge no. 5/3 on Bhorbhogia Mikirbheta Dhing Road with approaches in Morigaon District","NLCPR","25/11/2008","241.17","214.90","171.91","42.99","19/03/2012","30/11/2010",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 11/1 on Teok Boloma Nakachari Road in Jorhat District (Assam) with approaches","NLCPR","03/01/2006","109.17","97.46","34.39","63.07","17/01/2011","30/06/2007",""
"Assam","Road & Bridges","Improvement of Roads and Natural Drainage System within Greater Tezpur Town","NLCPR","28/03/2007","2551.78","348.13","344.69","348.13","14/06/2007","29/05/2009",""
"Assam","Road & Bridges","Improvement of Kaurbaha-Nagrijuli Road by metalling and black-topping including conversion of SPT Bridges into RCC Minor Bridges (BTC Package)","NLCPR","31/12/2004","1450.00","1445.50","1407.73","111.95","31/03/2009","31/12/2007","25/11/2010"
"Assam","Road & Bridges","Construction of RCC Br. No. 6/1, 9/1 & 10/1 on Ambagaon Kathpara Solmari Singiari Road (NG-M-17) in Nagaon District","NLCPR","03/02/2010","239.02","213.79","85.52","128.27","14/09/2012","29/02/2012","15/02/2012"
"Assam","Road & Bridges","Charuali - Nagarijuli Road","NLCPR","18/02/2003","538.00","492.30","563.07","411.30","23/11/2006","31/07/2005",""
"Assam","Road & Bridges","Construction of Flyover at the Intersection of Pramathesh Barua Road and N.F Railway Track at Bijni Town in Assam","NLCPR","29/12/2011","1963.35","706.55","0.00","706.55","29/12/2011","30/06/2013",""
"Assam","Road & Bridges","Construction of RCC bridge No.8/2, 20/1, 21/1, 23/3, 29/2, 32/1, 36/1 and 40/1 on Mangaldoi Bhutiachang Road in Darrang District","NLCPR","29/07/2004","684.70","615.89","615.89","375.74","30/06/2006","31/12/2005","03/08/2009"
"Assam","Road & Bridges","Improvement of Bhowraguri Kachugaon Road in Kokrajhar (BTC Package)","NLCPR","31/12/2004","2373.45","2373.45","2246.34","117.80","31/03/2009","31/12/2007","31/03/2011"
"Assam","Road & Bridges","Metalling and Blacktopping of Road from Dr. Fakaruddin Ali Ahmed Path To Doulgobindapur via Nalbari Hindu Smashan, Nalbari along with Pucca Drain and RCC Slab culverts","NLCPR","05/02/2010","227.85","81.21","81.21","81.21","05/02/2010","29/02/2012",""
"Assam","Road & Bridges","Rangiya Goreswar Road","NLCPR","18/02/2003","152.00","151.93","151.68","75.00","31/12/2004","31/03/2004","20/02/2004"
"Assam","Road & Bridges","Bhergaon-Chouni-Khagrabari-Dimakuchi Road (BTC Package)","NLCPR","31/10/2005","131.61","131.61","131.61","13.16","31/03/2009","31/12/2007","20/05/2010"
"Assam","Road & Bridges","Kaithalkuchi-Barama Subankhata Road, North Kamrup","NLCPR","06/12/2001","61.00","61.00","61.00","61.00","26/08/2004","31/08/2005","04/02/2006"
"Assam","Road & Bridges","Conversion of washed out STP Bridge No. 2/1 over river Hell into RCC Bridge on Shialmari Moinaguri Road in Kokrajhar District","NLCPR","28/12/2012","1967.53","708.15","0.00","708.15","28/12/2012","31/12/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 5/1 on river Bharalkunda, 7/1 on Sister-par Beel, 8/1 on Dulani Beel, 9/9 on Distributary of river Champamati 	and 11/1 on Hill Canal including approaches on Jogighopa Chapar Road in Bongaigaon District in Assam.","NLCPR","27/06/2006","709.41","632.16","632.16","200.10","22/07/2009","31/12/2007","30/06/2010"
"Assam","Road & Bridges","Construction of RCC Bridge No. 2/1 on Nandini Karaimari Road in Assam","NLCPR","14/07/2009","658.13","204.25","0.00","204.25","14/07/2009","01/01/2011",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/1, 4/1 and 5/1 on Sripani Jengrai Road in Dhemaji District (Assam) with approaches","NLCPR","21/02/2006","301.78","95.06","95.06","95.06","21/02/2006","31/08/2007",""
"Assam","Road & Bridges","Metalling and backtopping of Gossaigaon to Saraibil Road including improvement of existing hard crust and conversion of STP bridge to Rcc bridges(BTC Package)","NLCPR","07/02/2005","1939.00","1939.00","1791.82","89.78","31/03/2009","31/03/2007","31/03/2011"
"Assam","Road & Bridges","Causeway Over Kulsi, Darrang","NLCPR","11/02/2004","100.00","100.00","0.00","100.00","11/02/2004","31/07/2005",""
"Assam","Road & Bridges","Chapaguri-Khagrabari Road(BTC Package)","NLCPR","31/10/2005","630.00","630.00","624.69","63.00","31/03/2009","31/12/2007","31/12/2010"
"Assam","Road & Bridges","Gossaigaon to Kazigaon via Bhukka, Tipkai Road(BTC Package)","NLCPR","31/10/2005","1100.00","1100.00","1081.66","110.00","31/03/2009","31/12/2007","31/03/2011"
"Assam","Road & Bridges","Metalling & Black Topping of Road from Circuit House Tinsukia to NH-37 via Okanimuria Borguri Okanimuria Nakhrai and Lunpuria Kaibortogaon in Tinsukia Rural Road Subdivision/ Division","NLCPR","29/10/2010","524.10","185.75","96.32","185.75","29/10/2010","29/02/2012",""
"Assam","Road & Bridges","Tangla - Bhergaon Road","NLCPR","18/02/2003","0.00","0.00","0.00","-29.33","31/12/2004","31/07/2005",""
"Assam","Road & Bridges","Conversion of SPT Bridge 20/1 over River Gangia into RCC Bridge on Gosaigaon Sapatgram Road in Kokrajhar District(BTC Package)","NLCPR","28/11/2008","1082.68","541.34","200.00","54.13","31/03/2009","30/11/2010",""
"Assam","Road & Bridges","Improvement of Nagaon Morikolong Nanoi dakhinpath Road under Nagaon district","NLCPR","26/11/2007","199.03","177.35","177.35","90.79","10/02/2009","30/11/2008","16/02/2010"
"Assam","Road & Bridges","Construction of RCC Bridge No. 7/1,15/1 and 19/1 on Nagaon Barapujia Road(NH-38) Road division","NLCPR","18/08/2009","465.83","146.00","0.00","146.00","19/08/2009","31/08/2011",""
"Assam","Road & Bridges","Construction of Road from NH-31 at Barama to Masalpur, Baska(BTC Package)","NLCPR","07/02/2005","1443.00","1393.00","1173.85","307.00","19/11/2012","31/03/2007",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 20/1 - Nalbari Palla Road in Nalbari District","NLCPR","20/02/2004","144.36","113.74","113.74","39.38","17/09/2008","30/06/2005","31/07/2009"
"Assam","Road & Bridges","Construction of RCC Br. No. 1/1 over Santijan on Srimanta Sankardev Govesona Kendra Road in Nagaon Road","NLCPR","28/03/2008","280.55","249.99","249.99","111.62","13/07/2010","31/03/2009","28/09/2011"
"Assam","Road & Bridges","Improvement of road from Bashbari to Gossaigaon via Dingdinga, Kokrajhar District (D.K. Road)(BTC Package-2)","NLCPR","20/03/2012","2500.00","1091.00","0.00","1091.00","20/03/2012","20/03/2015",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 17/4, 19/4, 20/2 and 26/1 on Mt. Sepon Sunpura Road in Sivasagar District (Assam) with approaches","NLCPR","28/10/2005","377.86","336.72","336.72","160.91","18/08/2008","28/02/2007","06/05/2010"
"Assam","Road & Bridges","Construction of Tiphuk Jajolipukhuri Road with RCC Bridge No. 3/3 in Sibsagar District","NLCPR","10/11/2010","559.91","199.64","114.42","199.64","10/11/2010","30/11/2012",""
"Assam","Road & Bridges","Road from Hatichhera Dudpati Mudrennamukh.","NLCPR","28/03/2000","43.00","43.00","43.00","43.00","28/03/2000","31/12/2001","31/12/2001"
"Assam","Road & Bridges","Improvement of Barnagaon Pakribari road, Udalguri (BTC Package)","NLCPR","07/02/2005","150.00","150.00","146.38","7.50","31/03/2009","31/03/2007","30/09/2007"
"Assam","Road & Bridges","Rcc Bridge on Additional Approach to Airport road(2nos)","NLCPR","24/12/2003","173.39","164.51","163.68","41.24","22/06/2006","31/03/2005","20/07/2007"
"Assam","Road & Bridges","Construction of 4 lane Tripura road including electrical works from NH - 37 to GS Road","NLCPR","28/03/2008","1136.50","1022.85","1022.85","332.43","29/09/2009","30/09/2009","30/04/2010"
"Assam","Road & Bridges","Construction of RCC Bridge No. 2/3, 5/1, 9/1, 11/1, 15/3, 16/1, 18/1 and 19/4 on Itakhola Pavoi Road in Sonitpur District (Assam) with approaches","NLCPR","28/10/2005","875.42","456.41","456.41","456.41","28/10/2005","28/02/2007",""
"Assam","Road & Bridges","Construction of Mohmora Ali with RCC Bridge No. 9/2 in Sibsagar District","NLCPR","12/11/2010","771.96","271.80","0.00","271.80","12/11/2010","28/02/2013",""
"Assam","Road & Bridges","Construction of Khanda Road from Dawdhara to Doomni via Nawputa in Baska Distt.(BTC Package-2)","NLCPR","20/03/2012","1075.00","469.30","0.00","469.30","20/03/2012","20/03/2015",""
"Assam","Road & Bridges","Tangla - Deor Road","NLCPR","11/02/2004","379.00","0.00","0.00","-379.00","31/03/2006","31/03/2006",""
"Assam","Road & Bridges","Improvement of Road from 1st Km of Demow Dehing Road to Dhaoma Pukhuri (Length – 10.125 Km) with R.C.C. Bridge (Length – 18.75 m) in Demow Rural Road sub - Division","NLCPR","28/05/2012","760.00","270.77","0.00","270.77","28/05/2012","30/05/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 16/1, 19/1 and 19/3 on Bagals Road in Nalbari District with approaches","NLCPR","31/10/2005","404.73","238.93","236.59","111.44","19/08/2009","28/02/2007",""
"Assam","Road & Bridges","Improvement and widening of Bishmuri Saralpara Sarbhanga Road (BTC Package -2)","NLCPR","20/03/2012","2679.00","1169.00","0.00","1169.00","20/03/2012","20/03/2015",""
"Assam","Road & Bridges","Improvement of Charigaon Road under Jorhat Road Division","NLCPR","22/03/2010","556.98","399.52","194.58","199.70","26/09/2012","30/04/2012",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/2 and 3/1 on Sarupeta Bhuyapara in Barpeta District","NLCPR","30/09/2004","177.36","161.76","161.76","99.40","22/11/2006","31/12/2005","30/09/2009"
"Assam","Road & Bridges","Const. Of RCC Br.No.29/1 (at Brg.) at Kuhimari Bordowa road (SH-15) with RCC Bridge.","NLCPR","28/06/2012","501.37","180.44","0.00","180.44","29/06/2012","30/06/2014",""
"Assam","Road & Bridges","Improvement of Khoirabari MPK road (Andherighat) to Harisinga via Bhergaon, Tangla and Purandia 42.25 km length with conversion of 11 SPT bridges to RCC(BTC Package)","NLCPR","27/12/2005","2650.26","2650.26","2378.96","265.02","31/03/2009","27/12/2008",""
"Assam","Road & Bridges","Improvement of Tangla Kachubil Road (BTC area)","NLCPR","15/11/2010","1079.86","769.80","384.90","384.90","29/06/2012","30/11/2012",""
"Assam","Road & Bridges","Constyruction of RCC bridge no. 13/1, 13/2 and 30/2 on Mohbondha Road","NLCPR","25/01/2011","614.33","219.15","0.00","219.15","28/01/2011","31/01/2013",""
"Assam","Road & Bridges","Improvement and upgradation of Chencoories Elgin Road including construction of Major RCC bridge over river Ghagra","NLCPR","15/10/2009","1180.91","416.60","137.71","416.60","15/10/2009","31/10/2011",""
"Assam","Road & Bridges","Upgradation of Dalgaon Town to Sialmari via Dekerigaon","NLCPR","24/10/2007","251.73","179.82","101.65","66.00","30/06/2012","31/10/2009",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 4/2, 9/2, 10/2 and 17/1 on Met Na-Ali Jorhat Titabor in Jorhat District","NLCPR","30/09/2004","142.60","130.39","130.33","80.39","23/01/2007","31/12/2005","31/03/2009"
"Assam","Road & Bridges","Construction of RCC bridge no. 18/2 over stream Bahanigaon & bridge no. 19/1 over river Kachikata on Laluk-Narayanpur via Bihpuria Road in Lakhimpur District","NLCPR","30/09/2008","208.70","149.98","65.68","84.30","17/01/2011","31/07/2010",""
"Assam","Road & Bridges","Improvement of Naginimora Jajoli Road from Ch. 8.346 Km to Ch. 13.650 Km including conversion of SPT bridge no. 14/1 to RCC Bridge","NLCPR","21/08/2012","485.43","174.75","0.00","174.75","21/08/2012","31/01/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 6/1, 7/1, 8/1, 8/2, 9/1, 11/1 and 11/2 on Sepon Suffry Road in Sivasagar District (Assam) with approaches","NLCPR","27/12/2005","411.17","293.24","196.77","163.72","28/12/2011","31/05/2007",""
"Assam","Road & Bridges","construction of RCC Bridge No. 8/1 over Gurufella river on Gossaigaon - Sapatgram Road)(BTC Package-2)","NLCPR","14/12/2010","792.00","396.00","324.96","396.00","20/12/2010","14/12/2013",""
"Assam","Road & Bridges","Improvement of Roads in Biswanath Chariali Town","NLCPR","22/02/2011","1174.43","414.35","0.00","414.35","23/02/2011","31/03/2013",""
"Assam","Road & Bridges","Kachubari-Naokata-Patharighat Road, Nalbari & Darrang","NLCPR","31/10/2001","396.00","396.00","396.00","-134.00","31/12/2004","31/03/2004","31/03/2004"
"Assam","Road & Bridges","Construction of Road from Bhangarpar to Chandranathppur via babur bazar (Length 5.5 KM)","NLCPR","20/12/2007","249.05","179.73","139.87","100.00","09/07/2010","31/12/2008",""
"Assam","Road & Bridges","Construction of RCC bridge No.12/1 and 12/2 on Bangaon Jagara Road in Nalbari District","NLCPR","29/07/2004","174.81","159.50","159.90","97.50","29/06/2006","31/12/2005","08/06/2009"
"Assam","Road & Bridges","Construction of Kaliapani RCC bridge No.21/1 over River Dibru on Domdoma Dighaltarang Natun Gaon road with approach Road in Tinsukia","NLCPR","22/08/2012","1322.94","476.20","0.00","476.20","23/08/2012","31/07/2015",""
"Assam","Road & Bridges","Construction of Borobazar Ulubari Road via Bagargaon including RCC Bridge & Cross drainage in Chirang District (BTC Package - 2)","NLCPR","10/09/2012","1869.00","747.57","0.00","747.57","10/09/2012","10/09/2015",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 5/1 on Burhagohain Tinthengia Road in Dibrugarh District of Assam","NLCPR","21/12/2005","98.81","88.06","88.06","56.93","10/02/2009","31/05/2007","28/10/2011"
"Assam","Road & Bridges","Improvement of Mahilapara Dongapara Barangajuli PWD Road.","NLCPR","14/12/2010","835.19","595.38","250.00","297.69","19/07/2012","31/12/2012",""
"Assam","Road & Bridges","Construction of RCC Br. No. 7/1 on Dharamtul Dandua Road with approaches","NLCPR","30/03/2009","248.42","221.36","177.08","44.28","23/08/2012","31/08/2010",""
"Assam","Road & Bridges","Construction of RCC Bridge No.3/1 including approaches on Pukia Silapathar Road in Dhemaji District.","NLCPR","16/05/2006","136.78","121.89","121.89","78.81","12/09/2008","30/11/2007","30/05/2008"
"Assam","Road & Bridges","Tamulpur-Goreswar Road, Nalbari.","NLCPR","31/10/2001","473.41","473.41","473.00","-214.59","31/12/2004","31/03/2004","31/03/2004"
"Assam","Road & Bridges","Widening and Raising of Nazirakhat Sonapur Road (Length 6.00 km)","NLCPR","20/12/2007","265.08","238.57","238.55","130.80","27/05/2009","31/12/2008","03/03/2011"
"Assam","Road & Bridges","Upgradation of Road from NH-31 (C) via Serfanguri, Nepalpara, Athiabari, Ebargaon, Thaigiriguri and No. 2 Hazarikapara to Kapuragaon","NLCPR","14/12/2011","759.70","269.79","0.00","269.79","15/12/2011","31/12/2013",""
"Assam","Road & Bridges","Construction of RCC bridge No.24/1 on Barpathar-Bokajan Deithor-Chowkihola (BBDC) Road in Karbi Anglong District","NLCPR","28/07/2004","54.42","49.00","48.87","27.00","03/10/2007","31/12/2005","30/03/2009"
"Assam","Road & Bridges","Construction of RCC bridge No.35/2 and 53/2 on Moran Naharkatia Road in Dibrugarh District","NLCPR","29/07/2004","114.16","104.20","84.23","63.92","17/07/2006","31/12/2005","10/04/2012"
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/1 over River Doomdooma on old AT Road","NLCPR","26/09/2012","421.87","151.80","0.00","151.80","26/09/2012","30/09/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 2/1 on Bamunbari to Jariguri Road in Dibrugarh District of Assam with approaches","NLCPR","21/12/2005","108.05","77.80","56.09","43.76","23/02/2011","31/05/2007",""
"Assam","Road & Bridges","Construction of RCC Br. (a) No. 1/1 and 2/1 on Deroi Rongoli road (b) No. 2/1 on Deopling Ramuagar road and No. 3/1 ghilaguri Road","NLCPR","13/12/2010","391.18","138.06","82.12","138.06","15/12/2010","31/12/2012",""
"Assam","Road & Bridges","Constn. of RCC Br. No. 22/1 over river Diffoloo on Chowkihola Panjan Deithor Malasi Dirring Kohora (CPDMDK) Road with approaches and protection works(Karbi Anglong)","NLCPR","30/03/2009","303.82","94.87","0.00","94.87","30/03/2009","30/04/2011",""
"Assam","Road & Bridges","Improvement of Municipal Roads in Narayanpur Town in Assam","NLCPR","20/01/2010","400.00","141.17","0.00","141.17","20/01/2010","31/01/2012",""
"Assam","Road & Bridges","Ambagaon - Barigaon Road","NLCPR","18/02/2003","763.00","713.08","506.55","414.88","31/01/2008","31/07/2005",""
