"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Arunachal-Pradesh-Approved-Outlay","Assam-Approved-Outlay","Bihar-Approved-Outlay","Chhatisgarh-Approved-Outlay","Goa-Approved-Outlay","Gujarat-Approved-Outlay","Haryana-Approved-Outlay","Himachal-pradesh-Approved-Outlay","Jammu-Kashmir-Approved-Outlay","Jharkhand-Approved-Outlay","Karnataka-Approved-Outlay","Kerala-Approved-Outlay","MP-Approved-Outlay","Maharashtra-Approved-Outlay","Manipur-Approved-Outlay","Meghalaya-Approved-Outlay","Mizoram-Approved-Outlay","Nagaland-Approved-Outlay","Orissa-Approved-Outlay","Punjab-Approved-Outlay","Rajasthan-Approved-Outlay","Sikkim-Approved-Outlay","TamilNadu-Approved-Outlay","Tripura-Approved-Outlay","UP-Approved-Outlay","Uttrakhand-Approved-Outlay","WB-Approved-Outlay","Total-States-Approved-Outlay","AandN-Islands-Approved-Outlay","Chandigarh-Approved-Outlay","DandN-Haveli-Approved-Outlay","DandDiu-Approved-Outlay","Delhi-Approved-Outlay","Lakshadweep-Approved-Outlay","Puducherry-Approved-Outlay","Total-UTs-Approved-Outlay","Total-States-UTs-Approved-Outlay"
"X","2011-12","SOCIAL SERVICES","5. Medical & Public Health",171288.52,5808.0,47486.71,54450.0,83539.0,12462.0,219524.47,49831.0,16442.0,33331.11,64700.0,130197.0,41665.0,66085.0,147171.86,14955.0,17300.0,8775.0,3224.0,32385.0,31490.85,66353.47,12801.44,149644.0,25615.36,204964.0,42375.57,87384.5,1841249.86,8339.0,8504.0,3658.0,2123.0,182110.0,1400.0,28067.5,234201.5,2075451.36
"X","2011-12","SOCIAL SERVICES","6. Water Supply & Sanitation",109336.0,9534.69,9317.0,31485.74,32809.0,22135.0,212846.8,77000.0,18950.0,20606.7,30000.0,217110.0,90897.0,39394.74,99387.81,20500.0,11900.0,7176.13,1187.0,42050.0,66887.0,142094.46,1412.64,105558.0,7495.81,166495.0,54636.66,79052.0,1727255.18,6316.0,210.0,1871.0,2594.0,185011.0,2000.0,20142.0,218144.0,1945399.18
"X","2011-12","SOCIAL SERVICES","7. Housing (incl. Police Housing)                       ",231138.0,4759.43,420.0,122726.06,11857.0,1815.0,148956.27,10110.0,5318.0,900.0,1000.0,113480.0,4400.0,14651.2,215540.46,8559.26,1300.0,4651.67,14908.6,19001.0,300.2,38935.37,1625.0,2139.0,1868.34,123233.0,2500.0,86116.0,1192208.86,2817.0,3134.0,450.0,232.0,45780.0,2000.0,20588.01,75001.01,1267209.87
"X","2011-12","SOCIAL SERVICES","8. Urban Development (incl. State Capital Projects & slum Area Development )",318064.5,8299.34,76033.9,87250.0,115086.0,17032.0,301360.0,101740.0,6892.0,29272.48,105000.0,328205.0,58036.0,115586.61,378448.91,13644.59,16250.0,8043.4,11817.0,36138.0,14200.0,303635.32,22660.54,223867.0,11427.99,541743.0,31567.14,344899.0,3626199.72,3364.0,31328.0,2013.0,3005.0,150570.0,1500.0,21854.55,213634.55,3839834.27
"X","2011-12","SOCIAL SERVICES","9. Information & Publicity",2755.0,294.0,350.0,851.43,60.0,1247.0,5000.0,2650.0,50.0,597.56,1650.0,3305.0,2000.0,533.0,887.45,135.0,1200.0,285.0,650.0,875.0,1786.0,4.46,417.61,1151.0,853.8,50.0,755.78,751.1,31145.19,196.0,40.0,12.0,22.0,0.0,150.0,170.0,590.0,31735.19
"X","2011-12","SOCIAL SERVICES","10. Development of SCs, STs & OBCs",318244.5,0.0,11665.05,41000.32,22843.0,5327.0,144271.41,10000.0,4472.0,1990.1,46675.0,129287.0,73968.0,65173.89,325633.11,5235.0,20.0,0.0,0.0,47100.0,27504.61,48815.23,98.96,102449.0,6555.25,105539.0,10917.1,28932.0,1583716.53,300.0,87.0,99.0,58.0,25000.0,0.0,8413.0,33957.0,1617673.53
"X","2011-12","SOCIAL SERVICES","11. Labour & Employment",7374.79,253.39,9459.06,10366.53,11151.0,7765.8,33443.5,14165.0,49.0,10747.22,47650.0,31946.0,35355.0,10212.38,4109.0,702.0,1805.0,250.0,869.0,3793.0,6905.94,1551.69,89.57,21900.0,1560.08,12137.0,4989.57,11239.5,301840.02,469.0,75.0,79.0,324.0,1850.0,200.0,1005.0,4002.0,305842.02
"X","2011-12","SOCIAL SERVICES","12. Social Security & Social Welfare",32155.78,3148.5,14001.0,103374.47,21120.0,19697.0,36216.06,236655.0,7948.0,13811.52,13922.0,69338.0,27560.0,85040.6,193705.78,11126.95,3700.0,1750.0,2483.0,60040.5,76080.39,24116.33,1091.3,210911.83,13779.85,386968.0,27210.4,90886.5,1787838.76,935.0,458.0,147.0,234.0,55540.0,150.0,4800.0,62264.0,1850102.76
"X","2011-12","SOCIAL SERVICES","13. Empowerment of Women & Development of Children",53127.44,360.0,4450.0,70587.53,137130.0,2107.5,168749.61,19200.0,4021.0,9706.89,73147.0,109823.0,1666.0,152004.97,372816.24,880.0,1910.0,635.0,922.0,77000.0,16294.4,38542.52,808.27,87221.54,12.68,190227.0,15654.0,177849.5,1786854.09,14186.0,1399.0,130.0,240.0,49255.0,163.0,15804.23,81177.23,1868031.32
"X","2011-12","SOCIAL SERVICES","TOTAL - (X) ",1595257.14,44545.41,245450.85,840635.63,839970.0,136812.3,1502400.64,714103.7,99649.0,228528.14,518644.0,1417852.0,386639.0,887370.42,1955801.02,94691.52,82581.0,53464.76,47581.54,473494.5,355847.22,835320.49,56477.96,1094998.12,90667.19,2110771.0,269693.62,1207810.1,18187058.27,52830.0,56519.0,13933.0,12133.0,829179.0,10393.0,154520.36,1129507.36,19316565.63
"XI","2011-12","GENERAL SERVICES","GENERAL SERVICES",25759.0,2878.35,71974.52,91332.59,44760.0,50492.05,2958.02,724537.0,5448.0,63734.3,22600.0,66420.0,260535.0,20178.5,177821.72,4753.7,7040.0,23458.44,8702.22,17837.1,19318.04,14726.57,5531.0,10811.0,6844.25,24702.0,154945.61,40358.0,1970456.98,5490.0,1549.0,1548.0,1699.0,43585.0,576.0,20362.07,74809.07,2045266.05
"XII","2011-12","GRAND TOTAL         ","GRAND TOTAL         ",4300000.0,320000.0,900000.0,2400000.0,1671027.0,332000.0,3800000.0,2035800.0,330000.0,660000.1,1532275.0,3807002.0,1201000.0,2300000.0,4200000.0,321000.0,272700.0,170000.0,181000.0,1520000.0,1152000.0,2750000.0,140000.0,2353499.12,195000.0,4700000.0,780000.0,2221400.0,46545703.22,143484.0,66189.0,33635.0,32495.0,1513301.0,38879.0,275000.0,2102983.0,48648686.22
