"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
197.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Development of A. hydrophila induced ulcertive disease syndrome (UDS) model in zebra fish to study the interplay of cytokines and signaling molecules in infected and immunized [BT/PR13883/AAQ/03/516/2010]","Dr. Shibnath  Mazumder
University of Delhi, North Campus Delhi, Delhi-110007","23/08/2011","3 Years 0 Month",3618800.0
198.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Effect of kisspeptin on change in level of reproductive hormones and gonandal maturation in air breathing fish, Channa striatus. [BT/PR13171/AAQ/03/495/2009]","Dr. T  Francis
FISHERIES COLLEGE AND RESEARCH INSTITUTE Chennai, Tamilnadu-628008","23/09/2010","3 Years 0 Month",4931912.0
199.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Molecular signal interventional approach to improve ovarian maturation and spawning in commerical brooders of P. Monodon [BT/PR14440/AAQ/03/532/2010]","Prof. H  Devaraj
University of Madras Chennai, Tamilnadu-600005","23/09/2010","3 Years 0 Month",6239036.0
200.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Production and expression of Antiviral Mx protein in Carps [BT/PR13717/AAQ/03/509/2010]","Dr. B K Das
Central Institute of Freshwater Aquaculture Bhubaneswar, Orissa-751002","23/09/2011","3 Years 0 Month",3627400.0
201.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Role of melatonin in gonadal maturation in Indian Carp, Catla catla. [BT/PR11423/AAQ/03/421/2008]","Dr. Saumen Kumar Maitra
Visva Bharati University Birbhum, West Bengal-731235","24/06/2009","3 Years 9 Month",2582016.0
202.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Granulated actinomycete consortia for bioremdiation in aquaculture [BT/PR13761/AAQ/03/514/2010]","Dr. Rosamma  Philip
COCHIN UNIVERSITY OF SCIENCE & TECHNOLOGY Cochin, Kerala-682022","24/11/2010","3 Years 0 Month",3389012.0
203.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Induction of ecdysteroidogenesis and MF synthesis by serotonin and melatonin to enhance growth and reproduction in edible crab scylla serrate: and alternative to eyestalk ablation [BT/PR14850/AAQ/03/542/2010]","Dr. P Sreenivasula Reddy
Sri Venkateswara University Tirupati, Andhra Pradesh-517502","25/08/2011","3 Years 0 Month",2690200.0
204.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Molecular characterization and development of a diagnostic test for the identificatin of a filterable agent isolated from diseased rainbow trout. [BT/PR12760/AAQ/03/477/2009]","Dr. Amit  Pande
Directorate of Coldwater Fisheries Research Nainital, Uttarakhand-263136","26/03/2010","3 Years 6 Month",6370608.0
205.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Molecular mechanisms and steroidal control of reproductive maturation in the commercially important shrimp Penaeus monodon [BT/PR15414/AAQ/03/555/2011]","Dr. C P Balasubramanian
Central Institute of Brackishwater Aquaculture Chennai, Tamilnadu-600028","26/09/2011","3 Years 0 Month",4044400.0
206.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Identification and evaluation of reproductive traits and genetic structure of Ompok bimaculatus in India [BT/PR14628/AAQ/03/537/2010]","Dr. U K Sarkar
National Bureau of Fish Genetic Resources (ICAR) Lucknow, Uttar Pradesh-226002","26/09/2011","3 Years 0 Month",5531000.0
207.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Studies on Immnostimulatory activity of brown seaweeds in Shrimp Penaeus monodon. [BT/PR15313/AAQ/03/549/2011]","Dr. G  Immanuel
Manonmaniam Sundaranar University Tirunelveli, Tamilnadu-627012","27/02/2012","3 Years 0 Month",2388200.0
208.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Antimicrobial and Immunstimulatory Activities of Actinomycetes for Aquatic Animal Health Management [BT/PR4132/AAQ/3/576/2011]","Dr. A Sait Sahul hameed
C. Abdul Hakeem College Vellore, Tamilnadu-632509","27/08/2012","3 Years 0 Month",8722160.0
209.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Genetic diversity in the natural populations of Cobia (Rachycentron canadum) and silver pomfret (Pampus argenteus), candidate species for mariculture in India [BT/PR13452/AAQ/03/505/2010]","Dr. Divya P R
National Bureau of Fish Genetic Resources (ICAR) Lucknow, Kerala-226002","28/09/2010","3 Years 0 Month",4060032.0
210.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Biodiversity, DNA barcoding and Phylogeny of Commercially valuable marine Molluscs of India [BT/PR13602/AAQ/03/508/2010]","Dr. Sanil  George
Rajiv Gandhi Centre For Biotechnology Thiruvananthapuram, Kerala-695014","28/09/2011","3 Years 0 Month",7076000.0
211.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","BIOCOMPOSITE BASED ORTHOPEDIC IMPLANTS FROM SHRIMP WASTE AND MARINE ALGAE [BT/PR3350/AAQ/3/567/2011]","Dr. G Muraleedhara kurup
University of Kerala Trivandrum, Kerala-695007","28/09/2012","3 Years 0 Month",4571200.0
212.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Antipathogenic potential of marine cyanobacteria in preventing quorum sensing dependent bacterial infections among aquaculture organisms [BT/PR4815/AAQ/3/587/2012]","Dr. Veera Ravi  Arumugam
Alagappa University Karaikudi, Tamilnadu-630003","29/09/2012","3 Years 0 Month",5509915.0
213.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Development of Greener Scale-up Bioprocess for the Production of Bio-Surfactants from Marine Actinobacteria [BT/PR14678/AAQ/03/538/2011]","Dr. Joseph  Selvin
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","30/09/2011","3 Years 0 Month",4365200.0
214.0,"AQUACULTURE AND MARINE BIOTECHNOLOGY","Molecular studies on sequential pathogenesis of WSSV and defence mechanism in Penaeus monodon [BT/PR12558/AAQ/03/06/2009]","Dr. M S Shekhar
Central Institute of Brackishwater Aquaculture Chennai, Tamilnadu-600028","30/09/2011","3 Years 0 Month",8093200.0
215.0,"BASIC RESEARCH IN MODERN BIOLOGY","Hybridization induced genomic rearrangements in flowering plants [BT/PR11569/BRB/10/684/2008]","Dr. R  Baskar
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","01/02/2011","3 Years 0 Month",5658020.0
216.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular Mechanism of neonatal Sepsis [BT/PR12666/BRB/10/723/2009]","Prof. E Berla  Thangam
SRM University, Kattankulathur Kanchipuram, Tamilnadu-603203","01/02/2011","3 Years 0 Month",4555024.0
217.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular Signature of Renal Allograft Rejection by PCR array [BT/PR14079/BRB/10/804/2010]","Dr. Biman  Saikia
Post Graduate Institute of Medical Education and Research Chandigarh, Chandigarh-160012","01/05/2012","3 Years 0 Month",4009800.0
218.0,"BASIC RESEARCH IN MODERN BIOLOGY","Functional characterization of begomovirus encoded Replication initiator protein (Rep), a member of SF III helicase family [BT/PR13401/BRB/10/757/2009]","Dr. Supriya  Chakraborty
Jawaharlal Nehru University New Delhi, Delhi-110067","01/07/2011","3 Years 0 Month",4169800.0
219.0,"BASIC RESEARCH IN MODERN BIOLOGY","Unraveling the role of human non-coding Satellite-III transcripts in cellular stress response. [BT/PR11927/BRB/10/699/2009]","Prof. Subramaniam  Ganesh
INDIAN INSTITUTE OF TECHNOLOGY, KANPUR kanpur, Uttar Pradesh-208016","01/09/2010","3 Years 0 Month",5779000.0
220.0,"BASIC RESEARCH IN MODERN BIOLOGY","Assessment of Functional Role of Tic22 in protein Import into Chloroplast in Arabidopsis [BT/PR14320/BRB/10/835/2010]","Dr. Baishnab C Tripathy
Jawaharlal Nehru University New Delhi, Delhi-110067","01/11/2011","3 Years 0 Month",4995200.0
221.0,"BASIC RESEARCH IN MODERN BIOLOGY","Exploring dynamics of sub-cellular distribution of Mycobacterium tuberculosis in host cells and their regulation. [BT/PR14730/BRB/10/874/2010]","Dr. Dhiraj  Kumar
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","02/02/2012","3 Years 0 Month",6940000.0
222.0,"BASIC RESEARCH IN MODERN BIOLOGY","DNA Mismatch repair in prokaryotes: Beyond the E. coli paradigm [BT/PR882/BRB/10/935/2011]","Dr. Deepak Thankappan Nair
National Centre For Biological Sciences Bangalore, Karnataka-560065","02/07/2012","3 Years 0 Month",6788000.0
223.0,"BASIC RESEARCH IN MODERN BIOLOGY","Studies on the role of signaling pathways involving C3G in cellular plasticity [BT/PR11921/BRB/10/698/2009]","Dr. Vegesna  Radha
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","02/08/2010","3 Years 0 Month",4190624.0
224.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural, computational and protein engineering approaches for the biocatalytic production of chiral synthons using Rieske Oxygenases [BT/PR13429/BRB/10/767/2009]","Prof. Ramaswamy  Subramanian
INSTITUTE FOR STEM CELL BIOLOGY AND REGENERATIVE MEDICINE Bangalore, Karnataka-560065","02/11/2010","3 Years 0 Month",5856028.0
225.0,"BASIC RESEARCH IN MODERN BIOLOGY","Regulation of genes involved in iron metabolism by small RNA (sRNA) in Burkholderia cepacia complex. [BT/PR11424/BRB/10/680/2008]","Dr. Sagarmoy  Ghosh
University of Calcutta Kolkata, West Bengal-700073","02/11/2010","3 Years 0 Month",4955000.0
226.0,"BASIC RESEARCH IN MODERN BIOLOGY","Recombinant WSP (Wolbachia Surface Protein) induced modulation of human macrophage functions in vitro [BT/PR13273/BRB/10/760/2009]","Dr. R B Narayanan
Anna University Chennai, Tamilnadu-600025","03/06/2011","3 Years 0 Month",2482200.0
227.0,"BASIC RESEARCH IN MODERN BIOLOGY","A study to evaluate the role of insulin signaling in aging and innate immunity using Caenorhabaditis elegans as a model system [BT/PR13720/BRB/10/779/2010]","Dr. Arnab  Mukhopadhyay
National Institute of Immunology New Delhi, Delhi-110067","03/06/2011","3 Years 0 Month",5679600.0
228.0,"BASIC RESEARCH IN MODERN BIOLOGY","Cloning expression and characterization of truncated globins (HbN and HbO) from Myxococcus xanthus. [BT/PR12695/BRB/10/716/2009]","Dr. Ramandeep  Kaur
Guru Nanak Dev University Amritsar, Punjab-143001","03/09/2010","3 Years 0 Month",2494008.0
229.0,"BASIC RESEARCH IN MODERN BIOLOGY","Elucidating the role of mammalian Sirt 1 in regulating microRNA expression. [BT/PR12687/BRB/10/715/2009]","Dr. Ullas  Kolthur
Tata Institute Of Fundamental Research Mumbai, Maharashtra-400005","03/09/2010","3 Years 0 Month",4540000.0
230.0,"BASIC RESEARCH IN MODERN BIOLOGY","A transcriptomic approach to decipher the alarm signals in phloem of Wild Solanum species in response to pathogen challenge [BT/PR14449/BRB/10/847/2010]","Dr. Anjan Kumar Banerjee
Indian Institute of Science Education and Research (IISER), Pune Pune, Maharashtra-411021","03/11/2011","3 Years 0 Month",4414400.0
231.0,"BASIC RESEARCH IN MODERN BIOLOGY","Effect of reactive oxygen species on macrophage signalosome: impact on antigen presentation functions and T cell priming responses [BT/PR12854/BRB/10/730/2009]","Dr. Sangita  Mukhopadhyay
Centre For DNA Fingerprinting and Diagnostics Hyderabad, Andhra Pradesh-500001","04/02/2011","3 Years 0 Month",4386032.0
232.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular Characterization of M.tuberculosis biotin protein ligase (MtBPL) and its functional significance to the tubercular organism [BT/PR/13716/BRB/10/778/2010]","Dr. AVADHESHA  SUROLIA
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","04/05/2012","3 Years 0 Month",9059200.0
233.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural Basis for the Maturation of Prokaryotic siRNA [BT/PR14402/BRB/10/830/2010]","Dr. B  Anand
INDIAN INSTITUTE OF TECHNOLOGY, GUWAHATI Guwahati, Assam-781039","04/11/2011","3 Years 0 Month",3848000.0
234.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural and Functional Analysis of Orotate Phosphoribosyl transferase (TTHA1742) and Dihydroorotate Dehydrogenase (TTHA0779) from Thermus thermophilus HB8 [BT/PR15407/BRB/10/923/2011]","Dr. Jeyaraman  Jeyakanthan
Alagappa University Karaikudi, Tamilnadu-630003","05/07/2012","3 Years 0 Month",5025000.0
235.0,"BASIC RESEARCH IN MODERN BIOLOGY","Gene expression and organization of photosystem I and II complexes under abiotic stresses influenced by state transition mechanism in Chlamydomonas Reinhadtii [BT/PR15132/BRB/10/909/2011]","Dr. Subramanyam  Rajagopal
University of Hyderabad Hyderabad, Andhra Pradesh-500046","05/07/2012","3 Years 0 Month",4782800.0
236.0,"BASIC RESEARCH IN MODERN BIOLOGY","Specificity and Complexity of the Integrin-Actin Signaling Pathway in the Tumor Microenvironment [BT/PR14722/BRB/10/873/2010]","Dr. Tapasya  Srivastava
Delhi University, South Campus New Delhi, Delhi-110021","05/09/2012","3 Years 0 Month",8962400.0
237.0,"BASIC RESEARCH IN MODERN BIOLOGY","Regulation of RNA Metabolism by Dishevelled, a Critical Player of Wnt Signalling [BT/PR14537/BRB/10/856/2010]","Dr. Jomon  Joseph
National Centre For Cell Science Pune, Maharashtra-411007","05/10/2011","3 Years 0 Month",5504400.0
238.0,"BASIC RESEARCH IN MODERN BIOLOGY","Elucidation of protein level interactions to define arrangement of subunits in the plant mediator complex [BT/PR14519/BRB/10/869/2010]","Dr. Jitendra K Thakur
National Institute of Plant Genome Research New Delhi, Delhi-110067","05/12/2011","3 Years 0 Month",4697190.0
239.0,"BASIC RESEARCH IN MODERN BIOLOGY","Knowledge-based protein engineering in the pro-peptide region of two cysteine proteases, Cathepsin K and Papain: altering activity and specificity with implications in human disease and industry [BT/PR13895/BRB/10/789/2010]","Prof. Sampa  Biswas
Saha Institute of Nuclear Physics Kolkata, West Bengal-700064","06/06/2011","3 Years 0 Month",3216200.0
240.0,"BASIC RESEARCH IN MODERN BIOLOGY","Conformational and Drug binding studies of Alpha-1 acid glycoprotein. [BT/PR13194/BRB/10/742/2009]","Dr. Rizwan Hasan Khan
Aligarh Muslim University Aligarh, Uttar Pradesh-202002","06/09/2010","3 Years 0 Month",1076000.0
241.0,"BASIC RESEARCH IN MODERN BIOLOGY","Potential role of GroEL2 of Mycobacterium sp in interaction with the host cells [BT/PR15310/BRB/10/912/2011]","Dr. Raja  Biswas
Amrita Institute Of Medical Sciences And Research Centre Cochin, Kerala-682026","07/09/2012","3 Years 0 Month",3054600.0
242.0,"BASIC RESEARCH IN MODERN BIOLOGY","Studies on translational control of p53 isoforms [BT/PR15447/BRB/10/926/2011]","Prof. Saumitra  Das
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","07/09/2012","3 Years 0 Month",7451000.0
243.0,"BASIC RESEARCH IN MODERN BIOLOGY","A mycobacterial “BL21(DE3)”: crafting a strain to express Mtb proteins in mycobacteria. [BT/PR15386/BRB/10/919/2011]","Dr. Vikas  Jain
Indian Institute of Science Education and Research (IISER), Bhopal Bhopal, Madhya Pradesh-462023","07/09/2012","2 Years 0 Month",2369000.0
244.0,"BASIC RESEARCH IN MODERN BIOLOGY","Genome-wide characterization of tRNA synthetases from malarial parasite Plasmodium faliciparum [BT/PR13019/BRB/10/732/2009]","Dr. Amit  Sharma
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","07/12/2010","3 Years 0 Month",11904400.0
245.0,"BASIC RESEARCH IN MODERN BIOLOGY","Raf kinase - a key target for modern-day therapy against tumors [BT/PR14013/BRB/10/802/2010]","Dr. Sunil Kumar Manna
Centre For DNA Fingerprinting and Diagnostics Hyderabad, Andhra Pradesh-500001","07/12/2011","3 Years 0 Month",2542800.0
246.0,"BASIC RESEARCH IN MODERN BIOLOGY","Mutational Analyses of a Multidrug ABC Transporter to Dissect Mechanism of Drug Efflux [BT/PR14879/BRB/10/885/2010]","Prof. Rajendra  Prasad
Jawaharlal Nehru University New Delhi, Delhi-110067","07/12/2011","3 Years 0 Month",6364000.0
247.0,"BASIC RESEARCH IN MODERN BIOLOGY","Identification of the substrate interacting subunit of the 26S proteasome [BT/PR15049/BRB/10/896/2011]","Dr. Prasanna  Venkatraman
Advanced Centre For Treatment Research & Education In Cancer Mumbai, Maharashtra-410210","08/08/2012","3 Years 0 Month",6807800.0
248.0,"BASIC RESEARCH IN MODERN BIOLOGY","Poly (ADP-ribose) polymerase-1 and pancreatic islet differentiation from progenitors: Implication in diabetes [BT/PR3564/BRB/10/975/2011]","Dr. Sarita  Gupta
M.S. University of Baroda Baroda, Gujarat-390002","08/08/2012","3 Years 0 Month",5827600.0
249.0,"BASIC RESEARCH IN MODERN BIOLOGY","Studies on the Inter-TLR regulation of TLR expression and function [BT/PR3288/BRB/10/966/2011]","Dr. Bhaskar  Saha
National Centre For Cell Science Pune, Maharashtra-411007","08/08/2012","3 Years 0 Month",7998800.0
250.0,"BASIC RESEARCH IN MODERN BIOLOGY","Defining the role of Glucose Regulated Protein 78 (GRP78) in Sperm
Motility [BT/PR2558/BRB/10/951/2011]","Dr. Priyanka  Parte
National Institute For Research In Reproductive Health Mumbai, Maharashtra-400012","08/08/2012","3 Years 0 Month",3520800.0
251.0,"BASIC RESEARCH IN MODERN BIOLOGY","Sys TB: A Network Program for Resolving the Intracellular Dynamics of Host Pathogen Interaction in TB Infection. [BT/PR3260/BRB/10/967/2011]","Dr. Kanury V S Rao
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","09/01/2012","5 Years 0 Month",181854000.0
252.0,"BASIC RESEARCH IN MODERN BIOLOGY","Biochemical and biophysical characterization of AnaEst, an arylesterase from Anabaena sp PCC 1720 [BT/PR13276/BRB/10/744/2009]","Dr. N  Manoj
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","09/05/2012","3 Years 0 Month",2578400.0
253.0,"BASIC RESEARCH IN MODERN BIOLOGY","DNA damage surveillance and repair: Characterizing the interaction between TopBP1 and Msh2-Msh6 complex. [BT/PR3156/BRB/10/961/2011]","Dr. Mayurika  Lahiri
Indian Institute of Science Education and Research (IISER), Pune Pune, Maharashtra-411021","09/11/2012","3 Years 0 Month",7582700.0
254.0,"BASIC RESEARCH IN MODERN BIOLOGY","Studies on the three dimensional structures and functions of enzymes involved in propanediol metabolism [BT/PR10912/BRB/10/630/2008]","Dr. M R N Murthy
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","10/08/2010","3 Years 0 Month",4876000.0
255.0,"BASIC RESEARCH IN MODERN BIOLOGY","Exploring the Role of Splice Variants of CONSTSNS, the Key Regulator of Photoperiodic Flowering Time Control in Arabidopsis [BT/PR15236/BRB/10/916/2011]","Dr. Kishore Chandra Sekhar Panigrahi
National Institute of Science Education And Research Bhubaneswar, Orissa-751005","10/09/2012","3 Years 0 Month",8953200.0
256.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural and functional studies of Acyl CoA Binding Proteins from Plasmodium falciparum [BT/PR14751/BRB/10/877/2010]","Dr. Akash  Ranjan
Centre For DNA Fingerprinting and Diagnostics Hyderabad, Andhra Pradesh-500001","10/10/2011","3 Years 0 Month",5860000.0
257.0,"BASIC RESEARCH IN MODERN BIOLOGY","Genomic, proteomic and molecular analysis of the role of anti-anti sigma factors in environmental signaling and gene expression in Azospirllum brasilense [BT/PR13175/BRB/10/740/2009]","Dr. Anil Kumar Tripathi
Banaras Hindu University Varanasi, Uttar Pradesh-221005","11/08/2010","3 Years 0 Month",4703008.0
258.0,"BASIC RESEARCH IN MODERN BIOLOGY","Elucidating the novel role of MAP kinase directed phosphatases in Toll like receptor signaling mediated protective Th1 type immunity [BT/PR13144/BRB/10/738/2009]","Dr. Anindita  Ukil
Calcutta University Kolkata, West Bengal-700019","11/08/2010","3 Years 0 Month",7068032.0
259.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural analysis of bacterial peptidyl-tRNA hydrolase enzymes and design of high affinity binders. [BT/PR12991/BRB/10/748/2009]","Dr. Ashish  Arora
Central Drug Research Institute Lucknow, Uttar Pradesh-226001","11/08/2010","3 Years 0 Month",4475000.0
260.0,"BASIC RESEARCH IN MODERN BIOLOGY","Role of FtsH Protease in Escherichia coli Cell Division [BT/PR12699/BRB/10/718/2009]","Dr. Ajitkumar  Parthasarathi
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","11/08/2010","3 Years 0 Month",4088000.0
261.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular Analysis of AmpC beta – lactamases, their association with integron   and mobile elements and the role of gene cassettes in transfer of multiple drug resistant determinants in clinical isola [BT/PR11812/BRB/10/692/2009]","Prof. M R Sen
INSTITUTE OF MEDICAL SCIENCES, BHU Varanasi, Uttar Pradesh-221005","11/08/2010","3 Years 0 Month",2930032.0
262.0,"BASIC RESEARCH IN MODERN BIOLOGY","PCR markers for diatoms to Link Death due to drowning [BT/PR14134/BRB/10/816/2010]","Dr. Vandana  Vinayak
Forensic Science Laboratory Karnal, Haryana-132001","11/11/2011","3 Years 0 Month",3687000.0
263.0,"BASIC RESEARCH IN MODERN BIOLOGY","A Drosophila model for unrevealing the link between cellular stress response, carcinogenesis and anti-cencer drug screening. [BT/PR14716/BRB/10/876/2010]","Dr. Pradip  Sinha
INDIAN INSTITUTE OF TECHNOLOGY, KANPUR kanpur, Uttar Pradesh-208016","11/11/2011","3 Years 0 Month",8789200.0
264.0,"BASIC RESEARCH IN MODERN BIOLOGY","Helicobacter pylori phospholipases as novel virulence factors [BT/PR11740/BRB/10/683/2008]","Dr. Ramakrishnan  Sitaraman
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","11/11/2011","3 Years 0 Month",4932900.0
265.0,"BASIC RESEARCH IN MODERN BIOLOGY","a-Synuclein and Tau Interaction: Implication on Neurodegenerative Diseases. [BT/PR14633/BRB/10/872/2010]","Dr. Nakul Chandra Maiti
INDIAN INSTITUTE OF CHEMICAL BIOLOGY Kolkata, West Bengal-700032","11/12/2012","3 Years 0 Month",8840000.0
266.0,"BASIC RESEARCH IN MODERN BIOLOGY","Solution structures, dynamics and interaction studies of Plasmodium falciparum protein modules associated with the phenomenon of cytoadherence [BT/PR13018/BRB/10/731/2009]","Dr. Neel Sarovar  Bhavesh
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","12/08/2010","3 Years 0 Month",9000000.0
267.0,"BASIC RESEARCH IN MODERN BIOLOGY","Characterization of the tubulin interactome involved in the orchestration of sperm flagellar motility [BT/PR11908/BRB/10/696/2009]","Dr. Priyanka  Parte
National Institute For Research In Reproductive Health Mumbai, Maharashtra-400012","12/08/2010","3 Years 0 Month",3162020.0
268.0,"BASIC RESEARCH IN MODERN BIOLOGY","Elucidating the factors responsible for spatio-temporal regulations of association between cohesin and chromatin in executing faithful chromosome segregation during meiotic cell cycle using budding yeast as a model system [BT/PR13962/BRB/10/798/2010]","Dr. Santanu Kumar Ghosh
INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY Mumbai, Maharashtra-400076","12/09/2011","3 Years 0 Month",7080000.0
269.0,"BASIC RESEARCH IN MODERN BIOLOGY","Functional Characterization of CRN12 in Leishmania parasites [BT/PR14277/BRB/10/821/2010]","Dr. Amogh A Sahasrabuddhe
Central Drug Research Institute Lucknow, Uttar Pradesh-226001","13/09/2011","3 Years 0 Month",3832000.0
270.0,"BASIC RESEARCH IN MODERN BIOLOGY","Understanding Metal-lon Translocation across Inner Membrane of Mycobacterium tuberculosis and Mycobacterium leprae [BT/PR13735/BRB/10/786/2010]","Dr. Arockiasamy  Arulandu
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","13/09/2011","3 Years 0 Month",6974800.0
271.0,"BASIC RESEARCH IN MODERN BIOLOGY","Screening of the Age related macular degeneration patients for PON polymorphism and its functional correlation at the level of the PON activity, OxLDL and Homocysteine in the blood [BT/PR13630/BRB/10/776/2010]","Dr. Narayanasamy  ANGAYARKANNI
Vision Research Foundation Chennai, Tamilnadu-600006","13/09/2011","3 Years 0 Month",3215000.0
272.0,"BASIC RESEARCH IN MODERN BIOLOGY","Studies on signal transduction mechanisms associated with ONOO- mediated regulation of ß-adrenergic response in pulmonary smooth muscle cells [BT/PR13263/BRB/10/743/2009]","Dr. Sajal  Chakraborti
University of Kalyani Kalyani, West Bengal-741235","13/12/2010","3 Years 0 Month",4032199.0
273.0,"BASIC RESEARCH IN MODERN BIOLOGY","Unraveling of conserved stress responsive         mechanisms using Synechocystissp.PCC6803 as a model [BT/PR13616/BRB/10/774/2010]","Dr. Jogadhenu Syama Sundar Prakash
University of Hyderabad Hyderabad, Andhra Pradesh-500046","14/07/2011","3 Years 0 Month",5250800.0
274.0,"BASIC RESEARCH IN MODERN BIOLOGY","Cytotoxic T cell ACID and immune response [BT/PR14425/BRB/10/839/2010]","Dr. Satish  Devadas
INSTITUTE OF LIFE SCIENCES Bhubaneswar, Orissa-751023","14/10/2011","3 Years 0 Month",4940000.0
275.0,"BASIC RESEARCH IN MODERN BIOLOGY","Modulation of micro RNA and transcriptional regulation of MMP-2 by natural products in human breast cancer cells [BT/PR3454/BRB/10/970/2011]","Dr. Ayyappan Ramesh  Nair
Amrita Vishwa Vidyapeetham (Amrita University) Kollam, Kerala-682026","14/11/2012","3 Years 0 Month",6700200.0
276.0,"BASIC RESEARCH IN MODERN BIOLOGY","Identification of lactase gene (LCT) polymorphism associated with primary and secondary hypolactasia among Indian population [BT/PR13006/BRB/10/736/2009]","Dr. S  Mahmood
Post Graduate Institute of Medical Education and Research Chandigarh, Chandigarh-160012","15/12/2010","3 Years 0 Month",2977136.0
277.0,"BASIC RESEARCH IN MODERN BIOLOGY","Investigation of factors affecting in Vitro Fertilization [BT/PR14616/BRB/10/860/2010]","Dr. Sunil  Kumar
National Institute of Occupational Health (ICMR) Ahmedabad, Gujarat-3800016","16/01/2013","3 Years 0 Month",4638000.0
278.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular mechanism of pathogenesis of glaucoma caused by mutation in optineurin [BT/PR10130/BRB/10/614/2008]","Dr. Ghanshyam  Swarup
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","16/04/2010","3 Years 0 Month",7963600.0
279.0,"BASIC RESEARCH IN MODERN BIOLOGY","Expression and trafficking of cell surface adhesion molecules and their contribution to endometrial receptivity [BT/PR11615/BRB/10/673/2008]","Dr. Geetanjali  Sachdeva
National Institute For Research In Reproduction Health Mumbai, Maharashtra-400012","16/04/2010","3 Years 0 Month",2643016.0
280.0,"BASIC RESEARCH IN MODERN BIOLOGY","eCoRIA: An ensemble approach for studying thermodynamic events involved in  ligand-receptor interaction. [BT/PR11810/BRB/10/690/2009]","Prof. Evans Clifton Coutinho
University of Mumbai Mumbai, Maharashtra-400032","16/07/2010","3 Years 0 Month",2997016.0
281.0,"BASIC RESEARCH IN MODERN BIOLOGY","Understanding the Interaction between Proapoptotic Serine Protease HtrA2/Omi and its Antiapoptotic Partner Hax-1- Implication of a Novel mechanism of Apoptosis Regulation in the Mitochondria [BT/PR13950/BRB/10/796/2010]","Dr. Kakoli  Bose
Advanced Centre For Treatment Research & Education In Cancer Mumbai, Maharashtra-410210","16/09/2011","3 Years 0 Month",4956800.0
282.0,"BASIC RESEARCH IN MODERN BIOLOGY","Role of protein disulfide isomerase in glucose stimulated insulin biosynthesis [BT/PR14109/BRB/10/812/2010]","Dr. Vasudevan  Seshadri
National Centre For Cell Science Pune, Maharashtra-411007","16/09/2011","3 Years 0 Month",5290000.0
